hostname,http_status,mx
ukraine.mfa.am,301,none
ukraine.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
ukraine.um.dk,301,none
ukrinform.ua,301,10 mail.ukrinform.com.
ukrndiv.com.ua,200,0 ukrndiv.com.ua.
ukrpatent.org,302,20 mail.nipo.gov.ua.
ungvar.mfa.gov.hu,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mailb.ungvar.mfa.gov.hu.; 10 maila.ungvar.mfa.gov.hu.
uzbekistan.org.ua,303,20 mx20.ukraine.com.ua.; 15 mx15.ukraine.com.ua.
v-birky.rada.org.ua,403,none
vasylkiv.org,301,0 vasylkiv.org.
vel-burlyk.rada.org.ua,403,none
velikabilozerka.rada.org.ua,403,none
velyka-bagachka.rada.org.ua,403,none
verhovyna-rada.at.ua,HttpConnectTimeoutException: HTTP connect timed out,none
veselynove.rada.org.ua,403,none
vietnamembassy-ukraine.org,301,none
vijvarada.volyn.ua,HttpConnectTimeoutException: HTTP connect timed out,none
vilnyanska.rayrada.org.ua,403,none
visokopilsk-rada.ks.ua,200,none
volodymyrets-rada.com,ConnectException,none
volodymyrivska.rada.org.ua,403,none
vovchmr.kh.ua,200,none
vprr.org.ua,ConnectException,none
ww2.gov.if.ua,403,none
xn--h1aahjhy.xn--j1amh,ConnectException,none
yabluniv.kosiv.net,403,none
yakimivka.rada.org.ua,403,none
yampil.rada.org.ua,403,none
yampmrada.com.ua,301,0 mx.services.
yujnoukrainsk.mk.ua,200,none
z-rada.blogspot.com,404,none
zalizci.rada.org.ua,403,none
zaliznychne.rada.org.ua,403,none
zarrada.org,301,none
zborivrayrada.org.ua,ConnectException,none
zdn.esy.es,ConnectException,none
zdolbrada.rv.ua,ConnectException,none
zelenovka.org.ua,ConnectException,none
zhydachivrairada.com.ua,ConnectException,none
zmr.org.ua,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,none
znob-nov.sb-rada.org.ua,302,none
zubani.rada.org.ua,403,none
