hostname,score,sources,label,level,http_status,mx
institucionpenitenciaria.es,7,wikidata;wikidata,Directorate-General for Criminal Enforcement and Social Reintegration | General Secretariat for Penitentiary Institutions,central,HttpConnectTimeoutException: HTTP connect timed out,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
ipb.csic.es,7,wikidata;wikidata,"Institute of Parasitology and Biomedicine ""López-Neyra""",,ConnectException,20 mx.csic.es.
irnas.csic.es,7,wikidata;wikidata,Institute of Natural Resources and Agrobiology of Seville,,ConnectException,10 mx.csic.es.
isciii.es,7,wikidata;wikidata,Carlos III Health Institute | National School of Public Health,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mxa-006a4e02.gslb.pphosted.com.; 10 mxb-006a4e02.gslb.pphosted.com.
jcyl.es,7,wikidata;wikidata;wikidata;wikidata,Junta of Castile and León | Consejería de Educación de la Junta de Castilla y León,central-1,301,25 correo1.jcyl.es.; 25 correo2.jcyl.es.
jesuitas.es,7,wikidata;wikidata,Jesuit province of Spain,,301,10 jesuitas-es.mail.protection.outlook.com.
juntaex.es,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,"Q65159293 | Consejería de Educación y Empleo | Consejería de Presidencia, Interior y Diálogo Social de la Junta de Extremadura | Junta de Extremadura | Q17462673",central-1,301,5 mxa-009d9602.gslb.pphosted.com.; 10 juntaex-es.mail.protection.outlook.com.; 5 mxb-009d9602.gslb.pphosted.com.
justicia.gva.es,7,wikidata;wikidata,Q20106809,central-1,HttpConnectTimeoutException: HTTP connect timed out,dig error
mediambient.gva.es,7,wikidata;wikidata;wikidata;wikidata,Q121816559 | Q127790496,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
melilla.es,7,wikidata;wikidata,Assembly of Melilla,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 rusadir.melilla.es.
mofaic.gov.ae,7,wikidata;wikidata,"Embassy of the United Arab Emirates, Madrid | Consulate General of the United Arab Emirates, Barcelona",central,IOException: HTTP/1.1 header parser received no bytes,20 smartmail2.fednet.gov.ae.; 10 smartmail1.fednet.gov.ae.
navarratelevision.es,7,wikidata;wikidata,Navarra Televisión 2 | Navarra Televisión,,301,10 mx.navarratelevision.es.
