subdomain,parent_domain,http_status,mx
cpanel.jnvkalahandi.gov.in,gov.in,Could not resolve host: cpanel.jnvkalahandi.gov.in,none
cpanel.jnvkbelgaum.gov.in,gov.in,Could not resolve host: cpanel.jnvkbelgaum.gov.in,none
cpanel.jnvkhammam.gov.in,gov.in,Could not resolve host: cpanel.jnvkhammam.gov.in,none
cpanel.jnvkodagu.gov.in,gov.in,Could not resolve host: cpanel.jnvkodagu.gov.in,none
cpanel.jnvkurnool.gov.in,gov.in,Could not resolve host: cpanel.jnvkurnool.gov.in,none
cpanel.jnvlohardaga.gov.in,gov.in,Could not resolve host: cpanel.jnvlohardaga.gov.in,none
cpanel.jnvmahendragarh.gov.in,gov.in,Could not resolve host: cpanel.jnvmahendragarh.gov.in,none
cpanel.jnvmedak.gov.in,gov.in,Could not resolve host: cpanel.jnvmedak.gov.in,none
cpanel.jnvnalgonda.gov.in,gov.in,Could not resolve host: cpanel.jnvnalgonda.gov.in,none
cpanel.jnvparbhani.gov.in,gov.in,Could not resolve host: cpanel.jnvparbhani.gov.in,none
cpanel.jnvsouthwest.gov.in,gov.in,Could not resolve host: cpanel.jnvsouthwest.gov.in,none
cpanel.jnvvisakhapatnam.gov.in,gov.in,Could not resolve host: cpanel.jnvvisakhapatnam.gov.in,none
cpanel.jnvwarangal.gov.in,gov.in,Could not resolve host: cpanel.jnvwarangal.gov.in,none
cpanel.jnvwashim.gov.in,gov.in,Could not resolve host: cpanel.jnvwashim.gov.in,none
cpanel.jnvwestgodavari.gov.in,gov.in,Could not resolve host: cpanel.jnvwestgodavari.gov.in,none
cpanel.kandlaport.gov.in,gov.in,Could not resolve host: cpanel.kandlaport.gov.in,none
cpanel.manipureducation.gov.in,gov.in,Could not resolve host: cpanel.manipureducation.gov.in,none
cpanel.manipurtourism.gov.in,gov.in,Could not resolve host: cpanel.manipurtourism.gov.in,none
cpanel.mnpcs.gov.in,gov.in,Could not resolve host: cpanel.mnpcs.gov.in,none
cpanel.mpanashik.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
cpanel.mpsconline.mizoram.gov.in,gov.in,Could not resolve host: cpanel.mpsconline.mizoram.gov.in,none
cpanel.nashikruralpolice.gov.in,gov.in,SSL: no alternative certificate subject name matches target hostname 'cpanel.nashikruralpolice.gov.in',none
cpanel.navimumbaipolice.gov.in,gov.in,Could not resolve host: cpanel.navimumbaipolice.gov.in,none
cpanel.nbe.gov.in,gov.in,Could not resolve host: cpanel.nbe.gov.in,none
cpanel.neetmds.nbe.gov.in,gov.in,Could not resolve host: cpanel.neetmds.nbe.gov.in,none
cpanel.neetpg.nbe.gov.in,gov.in,Could not resolve host: cpanel.neetpg.nbe.gov.in,none
cpanel.neetss.nbe.gov.in,gov.in,Could not resolve host: cpanel.neetss.nbe.gov.in,none
cpanel.onlpget.nbe.gov.in,gov.in,Could not resolve host: cpanel.onlpget.nbe.gov.in,none
cpanel.pds.gov.in,gov.in,Could not resolve host: cpanel.pds.gov.in,none
