domain,level,source,name
investpunjab.gov.in,central-1,manual,Invest Punjab
itschool.gov.in,central-1,manual,IT@School Project (Kerala)
jharkhand.gov.in,central-1,manual,Jharkhand
jharkhandcomtax.gov.in,central-1,manual,Commercial Taxes Department (Jharkhand)
jharkhandtenders.gov.in,central-1,manual,Jharkhand e-procurement
jhpolice.gov.in,central-1,manual,Jharkhand Police
jk.gov.in,central-1,manual,Jammu and Kashmir
jkcomtax.gov.in,central-1,manual,Commercial Taxes Department (Jammu and Kashmir)
jktenders.gov.in,central-1,manual,Jammu and Kashmir e-procurement
jpsc.gov.in,central-1,manual,Jharkhand Public Service Commission
karnataka.gov.in,central-1,manual,Karnataka
kerala.gov.in,central-1,manual,Kerala
keralamvd.gov.in,central-1,manual,Motor Vehicles Department (Kerala)
keralanews.gov.in,central-1,manual,Information and Public Relations Department (Kerala)
keralapolice.gov.in,central-1,manual,Kerala Police
keralapoliceacademy.gov.in,central-1,manual,Kerala Police Academy
keralaprisons.gov.in,central-1,manual,Prisons Department (Kerala)
keralawomen.gov.in,central-1,manual,Kerala Women's Commission
khajane2.gov.in,central-1,manual,Khajane-II treasury system (Karnataka)
kmvn.gov.in,central-1,manual,Kumaon Mandal Vikas Nigam (Uttarakhand)
ksp.gov.in,central-1,manual,Karnataka State Police
ladakh.gov.in,central-1,manual,Ladakh
lakpds.gov.in,central-1,manual,Public Distribution System (Lakshadweep)
lakshadweep.gov.in,central-1,manual,Lakshadweep
lsgkerala.gov.in,central-1,manual,Local Self Government Department (Kerala)
mahaagriiqc.gov.in,central-1,manual,Agriculture Input Quality Control (Maharashtra)
mahafireservice.gov.in,central-1,manual,Maharashtra Fire Services
mahagst.gov.in,central-1,manual,Goods and Services Tax Department (Maharashtra)
mahakosh.gov.in,central-1,manual,Mahakosh Finance Department (Maharashtra)
mahaonline.gov.in,central-1,manual,MahaOnline e-services (Maharashtra)
maharain.gov.in,central-1,manual,Maharain rainfall portal (Maharashtra)
maharashtra.gov.in,central-1,manual,Maharashtra
maharashtratourism.gov.in,central-1,manual,Maharashtra Tourism
maharojgar.gov.in,central-1,manual,Maharojgar employment portal (Maharashtra)
mahasugarcom.gov.in,central-1,manual,Sugar Commissionerate (Maharashtra)
mahatenders.gov.in,central-1,manual,Maharashtra e-procurement
mahavat.gov.in,central-1,manual,Sales Tax Department (Maharashtra)
manassembly.gov.in,central-1,manual,Manipur Legislative Assembly
manipur.gov.in,central-1,manual,Manipur
manipureducation.gov.in,central-1,manual,Education Department (Manipur)
manipurtenders.gov.in,central-1,manual,Manipur e-procurement
manipurtourism.gov.in,central-1,manual,Manipur Tourism
manipurwomencommission.gov.in,central-1,manual,Manipur State Commission for Women
meeseva.gov.in,central-1,manual,MeeSeva e-services (Telangana/Andhra Pradesh)
meghalaya.gov.in,central-1,manual,Meghalaya
meghalayaonline.gov.in,central-1,manual,Meghalaya Online
meghalayatenders.gov.in,central-1,manual,Meghalaya e-procurement
mhada.gov.in,central-1,manual,Maharashtra Housing and Area Development Authority
mizoram.gov.in,central-1,manual,Mizoram
mizoramtenders.gov.in,central-1,manual,Mizoram e-procurement
mn.gov.in,central-1,manual,Manipur
mp.gov.in,central-1,manual,Madhya Pradesh
mpanashik.gov.in,central-1,manual,Maharashtra Police Academy Nashik
