subdomain,parent_domain,http_status,mx
gospodar.gov.si,gov.si,Could not resolve host: gospodar.gov.si,none
gov.si,gov.si,Connection timed out after 3002 milliseconds,none
help.isl.gov.si,gov.si,Could not resolve host: help.isl.gov.si,none
hfsvis.arso.gov.si,gov.si,200,none
hidopazovanja.arso.gov.si,gov.si,302,none
hrm.muza.gov.si,gov.si,Could not resolve host: hrm.muza.gov.si,none
imap1.posta.sigov.si,gov.si,Could not resolve host: imap1.posta.sigov.si,none
imap2.posta.sigov.si,gov.si,Could not resolve host: imap2.posta.sigov.si,none
imap3.posta.sigov.si,gov.si,Could not resolve host: imap3.posta.sigov.si,none
imap4.posta.sigov.si,gov.si,Could not resolve host: imap4.posta.sigov.si,none
imap5.posta.sigov.si,gov.si,Could not resolve host: imap5.posta.sigov.si,none
imap6.posta.sigov.si,gov.si,Could not resolve host: imap6.posta.sigov.si,none
imap7.posta.sigov.si,gov.si,Could not resolve host: imap7.posta.sigov.si,none
imap8.posta.sigov.si,gov.si,Could not resolve host: imap8.posta.sigov.si,none
imap9.posta.sigov.si,gov.si,Could not resolve host: imap9.posta.sigov.si,none
imv-mop-test.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
imv-mop.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
intra.gov.si,gov.si,403,none
intranet-test.mzz.gov.si,gov.si,302,none
intranet.mzz.gov.si,gov.si,302,none
intrastat-surs.gov.si,gov.si,403,none
ipi.eprostor.gov.si,gov.si,307,none
ised.gov.si,gov.si,302,none
isk.gov.si,gov.si,"OpenSSL SSL_read: OpenSSL/3.5.3: error:0A00045C:SSL routines::tlsv13 alert certificate required, errno 0",none
isl.gov.si,gov.si,303,none
ismonitoring-test.arso.gov.si,gov.si,403,none
ismonitoring.arso.gov.si,gov.si,403,none
isvzd.mddsz.gov.si,gov.si,Could not resolve host: isvzd.mddsz.gov.si,none
iv-test.mop.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
iv.mop.gov.si,gov.si,Could not resolve host: iv.mop.gov.si,none
iza.ess.gov.si,gov.si,Could not resolve host: iza.ess.gov.si,none
izrabljena.vozila.gov.si,gov.si,SSL certificate problem: self-signed certificate in certificate chain,none
jep-sola.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
jep-test.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
jep.gov.si,gov.si,302,none
jodp.mf.gov.si,gov.si,302,none
kadri-test.mnz.gov.si,gov.si,200,none
kadri.mnz.gov.si,gov.si,403,none
kataster.eprostor-sola.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
kataster.eprostor-test.gov.si,gov.si,Could not resolve host: kataster.eprostor-test.gov.si,none
kataster.eprostor.gov.si,gov.si,200,none
kazalci.arso.gov.si,gov.si,200,none
kos-test.arso.gov.si,gov.si,Could not resolve host: kos-test.arso.gov.si,none
kos.arso.gov.si,gov.si,302,none
krimlb.arso.gov.si,gov.si,503,none
krpan-csd.gov.si,gov.si,302,none
krpan-ue.gov.si,gov.si,302,none
krpan.gov.si,gov.si,Could not resolve host: krpan.gov.si,none
kvote-curs.gov.si,gov.si,Could not resolve host: kvote-curs.gov.si,none
login.muza.gov.si,gov.si,Could not resolve host: login.muza.gov.si,none
mail.ess.gov.si,gov.si,Could not resolve host: mail.ess.gov.si,none
mail.gov.si,gov.si,Could not resolve host: mail.gov.si,none
mail1.gov.si,gov.si,Could not resolve host: mail1.gov.si,none
mail1m.gov.si,gov.si,Could not resolve host: mail1m.gov.si,none
mail2.gov.si,gov.si,Could not resolve host: mail2.gov.si,none
mail3.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
