subdomain,http_status,mx
dodacbando.gov.vn,200,65535 123.30.185.46.
dofabrvt.gov.vn,Could not resolve host: dofabrvt.gov.vn,none
dohquangtri.gov.vn,SSL certificate problem: certificate has expired,none
doithoaidn.hochiminhcity.gov.vn,Connection timed out after 3002 milliseconds,none
dongnai.gov.vn,200,10 smtp.dongnai.gov.vn.
dongphu.gov.vn,Could not resolve host: dongphu.gov.vn,none
dongthap.gov.vn,Connection timed out after 3001 milliseconds,none
dost-dongnai.gov.vn,Connection timed out after 3001 milliseconds,none
download.ocs.mof.gov.vn,Could not resolve host: download.ocs.mof.gov.vn,none
dpi-bentre.gov.vn,Could not resolve host: dpi-bentre.gov.vn,none
dpi.ninhbinh.gov.vn,SSL: no alternative certificate subject name matches target hostname 'dpi.ninhbinh.gov.vn',none
dpibinhthuan.gov.vn,Could not resolve host: dpibinhthuan.gov.vn,none
drive.cpt.gov.vn,Could not resolve host: drive.cpt.gov.vn,none
dskhhgdhanoi.gov.vn,Connection timed out after 3001 milliseconds,none
dt.gov.vn,Connection timed out after 3002 milliseconds,none
duchoa.longan.gov.vn,Could not resolve host: duchoa.longan.gov.vn,none
duchue.longan.gov.vn,Could not resolve host: duchue.longan.gov.vn,none
duhoclienvietthanh.vttc.gov.vn,Could not resolve host: duhoclienvietthanh.vttc.gov.vn,none
dulich.mongcai.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
dulich.sadec.dongthap.gov.vn,Connection timed out after 3002 milliseconds,none
dulich.tuangiao.gov.vn,Could not resolve host: dulich.tuangiao.gov.vn,none
dulichbien.hongphong.gov.vn,Could not resolve host: dulichbien.hongphong.gov.vn,none
dulichhe.hongphong.gov.vn,Could not resolve host: dulichhe.hongphong.gov.vn,none
dulichnuocngoai.hongphong.gov.vn,Could not resolve host: dulichnuocngoai.hongphong.gov.vn,none
dulichtet.hongphong.gov.vn,Could not resolve host: dulichtet.hongphong.gov.vn,none
dulichtrongnuoc.hongphong.gov.vn,Could not resolve host: dulichtrongnuoc.hongphong.gov.vn,none
dulichvinhphuc.gov.vn,Could not resolve host: dulichvinhphuc.gov.vn,none
dvc.luutru.gov.vn,Could not resolve host: dvc.luutru.gov.vn,none
dvc.monre.gov.vn,401,none
dvctt.monre.gov.vn,Connection timed out after 3002 milliseconds,none
e-ict.gov.vn,SSL certificate problem: self-signed certificate,none
e-pas.qh.gov.vn,SSL certificate problem: certificate has expired,none
e-pas01.qh.gov.vn,SSL certificate problem: certificate has expired,none
e-pas02.qh.gov.vn,SSL certificate problem: certificate has expired,none
e-pas03.qh.gov.vn,SSL certificate problem: certificate has expired,none
eac.gov.vn,Could not resolve host: eac.gov.vn,none
ecas1.thanhhoa.gov.vn,Could not resolve host: ecas1.thanhhoa.gov.vn,none
