domain,type,organization
federaljobs.gov,Federal - Executive,Office of Personnel Management
federalprobation.gov,Federal - Judicial,Administrative Office of the United States Courts
federalregister.gov,Federal - Legislative,Government Publishing Office
federalreserve.gov,Federal - Executive,Board of Governors of the Federal Reserve
federalreserveconsumerhelp.gov,Federal - Executive,Board of Governors of the Federal Reserve
federalrules.gov,Federal - Judicial,Administrative Office of the United States Courts
fedezfile.gov,Federal - Executive,Board of Governors of the Federal Reserve
fedidcard.gov,Federal - Executive,General Services Administration
fedinfo.gov,Federal - Executive,General Services Administration
fedinvest.gov,Federal - Executive,Department of the Treasury
fedjobs.gov,Federal - Executive,Office of Personnel Management
fedpartnership.gov,Federal - Executive,Board of Governors of the Federal Reserve
fedramp.gov,Federal - Executive,General Services Administration
fedreg.gov,Federal - Legislative,Government Publishing Office
fedres.gov,Federal - Executive,Board of Governors of the Federal Reserve
fedsfeedfamilies.gov,Federal - Executive,Department of Agriculture
fedshirevets.gov,Federal - Executive,Office of Personnel Management
feedthefuture.gov,Federal - Executive,Department of State
fegli.gov,Federal - Executive,Office of Personnel Management
fehrm.gov,Federal - Executive,Department of Defense
fema.gov,Federal - Executive,Department of Homeland Security
ferc.gov,Federal - Executive,Federal Energy Regulatory Commission
ffb.gov,Federal - Executive,Department of the Treasury
ffiec.gov,Federal - Executive,Board of Governors of the Federal Reserve
fgdc.gov,Federal - Executive,Department of the Interior
fha.gov,Federal - Executive,Department of Housing and Urban Development
fhfa.gov,Federal - Executive,Federal Housing Finance Agency
fhfaoig.gov,Federal - Executive,Federal Housing Finance Agency
ficor.gov,Federal - Executive,Department of the Interior
financialresearch.gov,Federal - Executive,Department of the Treasury
fincen.gov,Federal - Executive,Department of the Treasury
findsupport.gov,Federal - Executive,Department of Health and Human Services
findtreatment.gov,Federal - Executive,Department of Health and Human Services
firecode.gov,Federal - Executive,Department of the Interior
fireleadership.gov,Federal - Executive,Department of the Interior
firenet.gov,Federal - Executive,Department of the Interior
firescience.gov,Federal - Executive,Department of the Interior
firstgov.gov,Federal - Executive,General Services Administration
firstnet.gov,Federal - Executive,Department of Commerce
firstrespondertraining.gov,Federal - Executive,Department of Homeland Security
fishwatch.gov,Federal - Executive,Department of Commerce
fitness.gov,Federal - Executive,Department of Health and Human Services
fjc.gov,Federal - Judicial,Federal Judicial Center
fleet.gov,Federal - Executive,General Services Administration
fleta.gov,Federal - Executive,Department of Homeland Security
fletc.gov,Federal - Executive,Department of Homeland Security
flightrights.gov,Federal - Executive,Department of Transportation
floodsmart.gov,Federal - Executive,Department of Homeland Security
flra.gov,Federal - Executive,Federal Labor Relations Authority
flu.gov,Federal - Executive,Department of Health and Human Services
fmc.gov,Federal - Executive,Federal Maritime Commission
fmcs.gov,Federal - Executive,Federal Mediation and Conciliation Service
fmi.gov,Federal - Executive,General Services Administration
fmshrc.gov,Federal - Executive,Federal Mine Safety and Health Review Commission
fnal.gov,Federal - Executive,Department of Energy
foia.gov,Federal - Executive,Department of Justice
foodsafety.gov,Federal - Executive,Department of Health and Human Services
fordlibrarymuseum.gov,Federal - Executive,National Archives and Records Administration
foreignassistance.gov,Federal - Executive,Department of State
