hostname,score,sources,label,level,http_status,mx
web.cssdn.gouv.qc.ca,5,wikidata,Centre de services scolaire des Navigateurs,,,
winsport.ca,5,directory,WinSport,,,
yvr.ca,5,directory,Vancouver International Airport Authority,,,
yxe.ca,5,directory,Saskatoon Airport Authority,,,
adb.org,4,directory,Asian Development Bank,,,
admtl.com,4,directory,Aéroports de Montréal,,,
adsb.on.ca,4,wikidata,Algoma District School Board,,,
advancededucation.alberta.ca,4,wikidata,Alberta Advanced Education and Technology,,,
aer.ca,4,wikidata,Alberta Energy Regulator,,,
aeroportdequebec.com,4,directory,Aéroport de Québec Inc.,,,
afdb.org,4,directory,African Development Bank,,,
ags.aer.ca,4,wikidata,Alberta Geological Survey,,,
aibc.ca,4,wikidata,Architectural Institute of British Columbia,,,
aiib.org,4,directory,Asian Infrastructure Investment Bank,,,
albertainnovates.ca,4,wikidata,Alberta Innovates,,,
albertaparks.ca,4,wikidata,Alberta Parks,,,
alcdsb.on.ca,4,wikidata,Algonquin and Lakeshore Catholic District School Board,,,
ambamali.ca,4,wikidata,embassy of Mali in Canada,central,,
ambardcongocanada.ca,4,wikidata,"Embassy of Democratic Republic of the Congo, Ottawa",central,,
ambasadabih.ca,4,wikidata,embassy of Bosnia and Herzegovina in Canada,central,,
ambassade-haiti.ca,4,wikidata,Embassy of Haiti in Canada,central,,
ambassadegabon.ca,4,wikidata,embassy of Gabon in Canada,central,,
ambe.ca,4,wikidata,Ahkwesahsne Mohawk Board of Education,,,
amdsb.ca,4,wikidata,Avon Maitland District School Board,,,
amherstburg.ca,4,wikidata,Amherstburg Police Service,,,
amii.ca,4,wikidata,Alberta Machine Intelligence Institute,,,
arts.on.ca,4,wikidata,Ontario Arts Council,,,
artscouncil.mb.ca,4,wikidata,Manitoba Arts Council,,,
artsnb.ca,4,wikidata,New Brunswick Arts Board,,,
artsns.ca,4,wikidata,Arts Nova Scotia,,,
asc.ca,4,wikidata,Alberta Securities Commission,central-1,,
atlanticpilotage.com,4,directory,Atlantic Pilotage Authority,,,
auditor.on.ca,4,wikidata,Auditor General of Ontario,central-1,,
autorites-valeurs-mobilieres.ca,4,wikidata,Canadian Securities Administrators,,,
bahighco.ca,4,wikidata,high commission of the Bahamas in Canada,central,,
banqueducanada.ca,4,wikidata,Bank of Canada,,,
bccancer.bc.ca,4,wikidata,BC Cancer Agency,,,
bccdc.ca,4,wikidata,BC Centre for Disease Control,central-1,,
bccourts.ca,4,wikidata,Supreme Court of British Columbia,central-1,,
bcic.ca,4,wikidata,Innovate BC,,,
bcparks.ca,4,wikidata,BC Parks,,,
bcrenal.ca,4,wikidata,BC Renal,,,
bcsc.bc.ca,4,wikidata,British Columbia Securities Commission,central-1,,
bctreaty.ca,4,wikidata,British Columbia Treaty Commission,,,
bcwildfire.ca,4,wikidata,BC Wildfire Service,,,
bdhcottawa.ca,4,wikidata,"High Commission of Bangladesh, Ottawa",central,,
beta.novascotia.ca,4,wikidata,"Nova Scotia Department of Communities, Culture, Tourism and Heritage",central-1,,
bhncdsb.ca,4,wikidata,Brant Haldimand Norfolk Catholic District School Board,,,
bolivianembassy.ca,4,wikidata,Embassy of Bolivia in Canada,central,,
bwdsb.on.ca,4,wikidata,Bluewater District School Board,,,
calgary.ca,4,wikidata,Calgary Fire Department,,,
calgarypolice.ca,4,wikidata,Calgary Police Service,,,
campussafety.utoronto.ca,4,wikidata,University of Toronto Campus Safety,,,
cancercare.on.ca,4,wikidata,Cancer Care Ontario,,,
capcinfo.ca,4,wikidata,Canadian Automotive Partnership Council,,,
capo.ca,4,wikidata,Canadian Association of Psychosocial Oncology,,,
caribank.org,4,directory,Caribbean Development Bank,,,
cbe.ab.ca,4,wikidata,Calgary Board of Education,,,
cch.novascotia.ca,4,wikidata,"Department of Communities, Culture and Heritage",,,
cchst.ca,4,wikidata,Canadian Centre for Occupational Health and Safety,,,
cciquebec.ca,4,wikidata,Chambre de commerce et d'industrie de Québec,,,
cdsbeo.on.ca,4,wikidata,Catholic District School Board of Eastern Ontario,,,
cec.org,4,directory,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),,,
cecm.qc.ca,4,wikidata,Montreal Catholic School Commission,,,
cefsk.ca,4,wikidata,Conseil des écoles fransaskoises,,,
centrenord.ab.ca,4,wikidata,Greater North Central Francophone Education Region No. 2,,,
cepeo.on.ca,4,wikidata,Conseil des écoles publiques de l'Est de l'Ontario,,,
cesd73.ca,4,wikidata,Chinook's Edge School Division,,,
cfseu.bc.ca,4,wikidata,Combined Forces Special Enforcement Unit – British Columbia,central-1,,
chadembassy.ca,4,wikidata,embassy of Chad in Canada,central,,
chamber.ca,4,wikidata,Canadian Chamber of Commerce,,,
charlottetown.ca,4,wikidata,Charlottetown,,,
chrc-ccdp.ca,4,wikidata,Canadian Human Rights Commission,,,
cityofkingston.ca,4,wikidata,Kingston/Norman Rogers Airport,,,
clearview.ab.ca,4,wikidata,Clearview School Division No. 71,,,
cmac-cacm.ca,4,wikidata,Court Martial Appeal Court of Canada,central,,
cmec.ca,4,wikidata,Council of Ministers of Education,,,
cmm.qc.ca,4,wikidata,Greater Montreal,,,
cn.ca,4,wikidata,CN Police,,,
conseildelamagistrature.qc.ca,4,wikidata,Q109019020,,,
consulatdumaroc.ca,4,wikidata,"General Consulate of Morocco, Montreal",,,
corhealthontario.ca,4,wikidata,CorHealth Ontario,,,
courdappelduquebec.ca,4,wikidata,Quebec Court of Appeal,central-1,,
cppib.com,4,directory,Canada Pension Plan Investment Board,,,
