subdomain,parent_domain,http_status
www.auction.src.gov.sc,gov.sc,Could not resolve host: www.auction.src.gov.sc
www.bio.gov.sc,gov.sc,200
www.bulk.src.gov.sc,gov.sc,Could not resolve host: www.bulk.src.gov.sc
www.dsaptr.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
www.edu.gov.sc,gov.sc,301
www.education.gov.sc,gov.sc,Could not resolve host: www.education.gov.sc
www.family.gov.sc,gov.sc,200
www.finance.gov.sc,gov.sc,200
www.forms.src.gov.sc,gov.sc,Could not resolve host: www.forms.src.gov.sc
www.ftc.gov.sc,gov.sc,301
www.gov.sc,gov.sc,405
www.health.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
www.ict.gov.sc,gov.sc,200
www.iecd.gov.sc,gov.sc,200
www.industry.gov.sc,gov.sc,Connection timed out after 3002 milliseconds
www.localgovernment.gov.sc,gov.sc,Could not resolve host: www.localgovernment.gov.sc
www.lwma.gov.sc,gov.sc,Operation timed out after 3000 milliseconds with 0 bytes received
www.macce.gov.sc,gov.sc,Could not resolve host: www.macce.gov.sc
www.marketsurveillance.gov.sc,gov.sc,302
www.meteo.gov.sc,gov.sc,Could not resolve host: www.meteo.gov.sc
www.mfa.gov.sc,gov.sc,301
www.mhsca.gov.sc,gov.sc,200
www.mia.gov.sc,gov.sc,TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error
www.mofbe.gov.sc,gov.sc,Could not resolve host: www.mofbe.gov.sc
www.nbs.gov.sc,gov.sc,200
www.ncc.gov.sc,gov.sc,301
www.nihss.gov.sc,gov.sc,301
www.permits.ics.gov.sc,gov.sc,301
www.police.gov.sc,gov.sc,200
www.polls.src.gov.sc,gov.sc,Could not resolve host: www.polls.src.gov.sc
www.portal.mfa.gov.sc.csinnovative.com,gov.sc,200
www.prisonservice.gov.sc,gov.sc,200
www.psb.gov.sc,gov.sc,Could not resolve host: www.psb.gov.sc
www.publicsale.src.gov.sc,gov.sc,Could not resolve host: www.publicsale.src.gov.sc
www.publicsale1.auction.src.gov.sc,gov.sc,Could not resolve host: www.publicsale1.auction.src.gov.sc
www.qa.permits.ics.gov.sc,gov.sc,Could not resolve host: www.qa.permits.ics.gov.sc
www.qa.vwayaz.ics.gov.sc,gov.sc,301
www.qld-counselling.gov.sc,gov.sc,200
www.registry.gov.sc,gov.sc,403
