subdomain,http_status
www.belgium.tmembassy.gov.tm,Could not resolve host: www.belgium.tmembassy.gov.tm
www.bellikal.fineconomic.gov.tm,Could not resolve host: www.bellikal.fineconomic.gov.tm
www.bp.gov.tm,200
www.caa.gov.tm,Could not resolve host: www.caa.gov.tm
www.capar.turkmenpost.gov.tm,Could not resolve host: www.capar.turkmenpost.gov.tm
www.cci.gov.tm,200
www.cert.gov.tm,Connection timed out after 3001 milliseconds
www.chagalar-kitaphana.gov.tm,200
www.china.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.china.tmembassy.gov.tm'
www.cld.bp.gov.tm,Could not resolve host: www.cld.bp.gov.tm
www.cld.fineconomic.gov.tm,Could not resolve host: www.cld.fineconomic.gov.tm
www.construction.gov.tm,302
www.court.gov.tm,200
www.crm.deg.gov.tm,Connection timed out after 3000 milliseconds
www.crm.tgu.gov.tm,Could not resolve host: www.crm.tgu.gov.tm
www.customs.gov.tm,200
www.cybersec.gov.tm,Could not resolve host: www.cybersec.gov.tm
www.dashoguzairport.gov.tm,200
www.dashoguzawtoulag.gov.tm,Could not resolve host: www.dashoguzawtoulag.gov.tm
www.dashoguzkitaphana.gov.tm,SSL certificate problem: certificate has expired
www.dashoguzmuseum.gov.tm,200
www.dayhanbank.gov.tm,200
www.deg.gov.tm,Connection timed out after 3002 milliseconds
www.demiryollary.gov.tm,Could not resolve host: www.demiryollary.gov.tm
www.docs.bp.gov.tm,Could not resolve host: www.docs.bp.gov.tm
www.dovletkitaphana.gov.tm,200
www.drg.gov.tm,200
www.dtyb.gov.tm,SSL certificate problem: certificate has expired
www.e-hasabat.scct.gov.tm,Could not resolve host: www.e-hasabat.scct.gov.tm
www.e.fineconomic.gov.tm,200
www.e.gov.tm,Connection timed out after 3001 milliseconds
www.e.tax.gov.tm,Could not resolve host: www.e.tax.gov.tm
www.eapp.migration.gov.tm,Could not resolve host: www.eapp.migration.gov.tm
www.ecom.tfeb.gov.tm,Could not resolve host: www.ecom.tfeb.gov.tm
www.ecomt.tfeb.gov.tm,Could not resolve host: www.ecomt.tfeb.gov.tm
www.education.gov.tm,403
www.exchange.gov.tm,200
www.fineconomic.gov.tm,Could not resolve host: www.fineconomic.gov.tm
www.france.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.france.tmembassy.gov.tm'
www.garagumbank.gov.tm,Could not resolve host: www.garagumbank.gov.tm
www.georgia.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.georgia.tmembassy.gov.tm'
www.germany.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.germany.tmembassy.gov.tm'
www.gozgalmayanemlakgullugy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.gozgalmayanemlakgullugy.gov.tm'
www.halkbank.gov.tm,Could not resolve host: www.halkbank.gov.tm
www.i.tfeb.gov.tm,Could not resolve host: www.i.tfeb.gov.tm
www.ib.dayhanbank.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.ib.dayhanbank.gov.tm'
