domain,label,level,name
gov.uk,becclestowncouncil,local,
gov.uk,beckermetwiththornhill-pc,local,
gov.uk,beckinghamcumsaundby-pc,local,
gov.uk,beckington-pc,local,
gov.uk,beckley-and-stowood-pc,local,Beckley and Stowood Parish Council
gov.uk,beckrowparish,local,
gov.uk,bedale-tc,local,Bedale Town Council
gov.uk,bedfieldparishcouncil,local,
gov.uk,bedford,local,Bedford Borough Council
gov.uk,bedsfire,local,
gov.uk,beechhill-pc,local,
gov.uk,beedonparish,local,
gov.uk,beeleyparishcouncil,local,
gov.uk,beenham-pc,local,
gov.uk,beer-pc,local,
gov.uk,beestonregis-pc,local,
gov.uk,beestonwithbittering-pc,local,
gov.uk,beetham-pc,local,
gov.uk,beetleyparish,local,
gov.uk,bekesbournewithpatrixbourneparishcouncil,local,
gov.uk,belbroughtonandfairfield-pc,local,
gov.uk,belchfordandfulletbyparishcouncil,local,
gov.uk,belfastcity,local,Lord Mayor of Belfast
gov.uk,belfordparishcouncil,local,
gov.uk,bellerby-pc,local,
gov.uk,bellinghamparishcouncil,local,
gov.uk,belmontparishcouncil,local,
gov.uk,belmontrural-pc,local,
gov.uk,belpertowncouncil,local,Belper Town Council
gov.uk,belsayparishcouncil,local,
gov.uk,beltonandmanthorpeparishcouncil,local,
gov.uk,beltoninrutland-pc,local,
gov.uk,beltonparishcouncil,local,
gov.uk,beltonwithbrowston-pc,local,
gov.uk,belvoirparishcouncil,local,
gov.uk,bembridgeparishcouncil,local,
gov.uk,benefieldparishcouncil,local,
gov.uk,benendenparishcouncil,local,
gov.uk,bengeoruralparishcouncil,local,
gov.uk,benhallandsternfield-pc,local,
gov.uk,benthamtowncouncil,local,
gov.uk,bentleyandmerevale-pc,local,
gov.uk,bentleyparishcouncil,local,
gov.uk,bentleypauncefootparishcouncil,local,
gov.uk,bentleysuffolkparishcouncil,local,
gov.uk,benwickparishcouncil,local,
gov.uk,beoley-pc,local,
gov.uk,bepton-pc,local,
gov.uk,bereferrersparishcouncil,local,
gov.uk,bereregisparishcouncil,local,
gov.uk,berinsfield-pc,local,Berinsfield Parish Council
gov.uk,berkeley-tc,local,Berkeley Town Council
gov.uk,berkhamsted-tc,local,
gov.uk,berkhamstedtowncouncil,local,Berkhamsted Town Council
gov.uk,berkswich-pc,local,
gov.uk,berricksalome-pc,local,
gov.uk,berringtonparishcouncil,local,
gov.uk,berrowparish,local,
gov.uk,berrowparishcouncil,local,
gov.uk,berryfields-pc,local,
gov.uk,berrypomeroyparishcouncil,local,
gov.uk,bersted-pc,local,Bersted Parish Council
gov.uk,berwick-tc,local,Berwick-upon-Tweed Town Council
gov.uk,berwickparishcouncil,local,
gov.uk,besthorpeparishcouncil,local,
gov.uk,bestwoodvillageparishcouncil,local,
gov.uk,betchworth-pc,local,Betchworth Parish Council
gov.uk,bethersden-pc,local,
gov.uk,betleybalterleywrinehillparishcouncil,local,
gov.uk,beverley,local,Beverley Town Council
gov.uk,beverstonparishcouncil,local,
gov.uk,bewdleytowncouncil,local,
gov.uk,bewerleyparishcouncil,local,
gov.uk,bexhilltowncouncil,local,Bexhill-on-Sea Town Council
gov.uk,bexley,local,Bexley London Borough Council
gov.uk,beyton-pc,local,
gov.uk,bhhw-pc,local,
gov.uk,bhw-pc,local,
gov.uk,biburyparishcouncil,local,
gov.uk,bicester,local,Bicester
gov.uk,bickerstaffeparishcouncil,local,
gov.uk,bickingtonparishcouncil,local,
gov.uk,bickleighparish,local,
gov.uk,bictonparishcouncil,local,
gov.uk,biddenham-pc,local,
gov.uk,biddestoneslaughterford-pc,local,Biddestone and Slaughterford
gov.uk,biddulph-tc,local,
gov.uk,bideford-tc,local,Bideford Town Council
gov.uk,bidfordonavon-pc,local,
