subdomain,http_status,mx
ecabinet-sante.gouv.ml,Could not resolve host: ecabinet-sante.gouv.ml,none
ecabinet.gouv.ml,302,none
economienumerique.gouv.ml,Could not resolve host: economienumerique.gouv.ml,none
econseil.gouv.ml,302,none
education.gouv.ml,Connection timed out after 3002 milliseconds,none
egesco-diplomatie.gouv.ml,200,none
egesco-laposte.gouv.ml,Could not resolve host: egesco-laposte.gouv.ml,none
egesco-menp.gouv.ml,Could not resolve host: egesco-menp.gouv.ml,none
egesco-poste.gouv.ml,SSL certificate problem: certificate has expired,none
egesco-sports.gouv.ml,200,none
egesco.gouv.ml,Could not resolve host: egesco.gouv.ml,none
egescoplus.gouv.ml,200,none
energie.gouv.ml,Operation timed out after 3002 milliseconds with 0 bytes received,none
enseignementsuperieur.gouv.ml,301,0 enseignementsuperieur.gouv.ml.
environnement.gouv.ml,SSL certificate problem: certificate has expired,0 domino4.gouv.ml.; 5 domino1.gouv.ml.
eon.gouv.ml,Could not resolve host: eon.gouv.ml,none
equipement.gouv.ml,Could not resolve host: equipement.gouv.ml,none
evisa.gouv.ml,Could not resolve host: evisa.gouv.ml,none
finances.gouv.ml,Connection timed out after 3001 milliseconds,none
fonctionpublique.gouv.ml,200,none
fp.gouv.ml,Resolving timed out after 3000 milliseconds,none
ftpserveur.gouv.ml,SSL certificate problem: unable to get local issuer certificate,none
gesasso.gouv.ml,Could not resolve host: gesasso.gouv.ml,none
gestionmail.gouv.ml,Connection timed out after 3002 milliseconds,none
gouv.ml,Could not resolve host: gouv.ml,none
gr-mail.gouv.ml,Connection timed out after 3002 milliseconds,none
hebergement.gouv.ml,Could not resolve host: hebergement.gouv.ml,none
hostpot.gouv.ml,Connection timed out after 3002 milliseconds,none
ic.collab.gouv.ml,Could not resolve host: ic.collab.gouv.ml,none
ident.sante.gouv.ml,Could not resolve host: ident.sante.gouv.ml,none
ihs.collab.gouv.ml,Could not resolve host: ihs.collab.gouv.ml,none
ihs.gouv.ml,SSL certificate problem: certificate has expired,none
infj.gouv.ml,200,none
intranet.dngr.gouv.ml,Could not resolve host: intranet.dngr.gouv.ml,none
invest.mines.gouv.ml,Could not resolve host: invest.mines.gouv.ml,none
investir.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'investir.gouv.ml',none
iprodi.dngr.gouv.ml,200,none
ipv6.securite.gouv.ml,Could not resolve host: ipv6.securite.gouv.ml,none
ismacorp.investir.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'ismacorp.investir.gouv.ml',none
itie.mines.gouv.ml,Could not resolve host: itie.mines.gouv.ml,none
justice.gouv.ml,200,none
kayes.gouv.ml,Could not resolve host: kayes.gouv.ml,none
koulikoro.gouv.ml,200,none
ma.gouv.ml,Operation timed out after 3002 milliseconds with 0 bytes received,0 smtpag.gouv.ml.; 5 smtpcitad.gouv.ml.
mail.accesuniversel.gouv.ml,Could not resolve host: mail.accesuniversel.gouv.ml,none
mail.adm.gouv.ml,Could not resolve host: mail.adm.gouv.ml,none
mail.administration.gouv.ml,Operation timed out after 3002 milliseconds with 0 bytes received,0 administration.gouv.ml.
mail.aedd.gouv.ml,Could not resolve host: mail.aedd.gouv.ml,none
mail.affaires-etrangeres.gouv.ml,Could not resolve host: mail.affaires-etrangeres.gouv.ml,none
mail.agefau.gouv.ml,Could not resolve host: mail.agefau.gouv.ml,none
mail.ageroute.gouv.ml,Could not resolve host: mail.ageroute.gouv.ml,none
mail.agetic.gouv.ml,Could not resolve host: mail.agetic.gouv.ml,none
mail.agtic.gouv.ml,Could not resolve host: mail.agtic.gouv.ml,none
mail.anict.gouv.ml,Could not resolve host: mail.anict.gouv.ml,none
mail.aptm.gouv.ml,Could not resolve host: mail.aptm.gouv.ml,none
mail.archivesmali.gouv.ml,Could not resolve host: mail.archivesmali.gouv.ml,none
mail.armds.gouv.ml,Could not resolve host: mail.armds.gouv.ml,none
mail.artisanat.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'mail.artisanat.gouv.ml',none
mail.budget.gouv.ml,Could not resolve host: mail.budget.gouv.ml,none
mail.carfip.finances.gouv.ml,Could not resolve host: mail.carfip.finances.gouv.ml,none
mail.cdi.gouv.ml,Could not resolve host: mail.cdi.gouv.ml,none
mail.cerclesegou.gouv.ml,Could not resolve host: mail.cerclesegou.gouv.ml,none
mail.certification.gouv.ml,Could not resolve host: mail.certification.gouv.ml,none
mail.cigma.gouv.ml,Could not resolve host: mail.cigma.gouv.ml,none
mail.cnlcp.gouv.ml,Could not resolve host: mail.cnlcp.gouv.ml,none
mail.collab.gouv.ml,200,none
mail.core.gouv.ml,Could not resolve host: mail.core.gouv.ml,none
mail.cps-industries.gouv.ml,Could not resolve host: mail.cps-industries.gouv.ml,none
