hostname,http_status,mx
covip.it,HttpConnectTimeoutException: HTTP connect timed out,10 covip-it.mail.protection.outlook.com.
cr.campania.it,200,10 cr-campania-it.mail.protection.outlook.com.
cr.piemonte.it,ConnectException,10 zmbmtain.csi.it.
cref.it,301,5 ALT2.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 30 mailweb.cref.it.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
cricd.it,200,none
cslinsubria.it,301,none
csm.it,403,0 csm-it.mail.protection.outlook.com.
demo.istat.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
diodatabertolo.it,200,none
domusmazziniana.it,301,10 mx.domusmazziniana.it.
embajadacostaricaitalia.it,HttpConnectTimeoutException: HTTP connect timed out,none
embassyofkenya.it,301,none
embassyoftanzaniarome.info,200,none
embl.it,404,5 ironport2.EMBL-Heidelberg.DE.; 5 ironport1.EMBL-Heidelberg.DE.
enas.sardegna.it,ConnectException,none
enea.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 enea-it.mail.protection.outlook.com.
enpam.it,ConnectException,none
entegeopaleontologico.it,200,10 in.arubabusiness.it.
erdis.it,200,none
ethiopianembassy.it,SSLHandshakeException: Remote host terminated the handshake,none
eurogendfor.org,301,0 eurogendfor-org.mail.protection.outlook.com.
finlandabroad.fi,301,none
fisiocritici.it,301,10 mx.fisiocritici.it.
fofi.it,301,0 fofi-it.mail.protection.outlook.com.
fondazionechanges.org,301,0 smtp.google.com.
fondazionefamiglialegnanese.it,301,none
garantedisabilita.it,HttpConnectTimeoutException: HTTP connect timed out,0 garantedisabilita-it.mail.protection.outlook.com.
garanteinfanzia.org,HttpConnectTimeoutException: HTTP connect timed out,10 garanteinfanzia-org.mail.protection.outlook.com.
garantenazionaleprivatiliberta.it,HttpConnectTimeoutException: HTTP connect timed out,none
garanteprivacy.it,200,10 mx1.gpdp.it.; 20 mx2.gpdp.it.
gcss.it,301,0 mx50.momax.it.
gesuiti.it,HttpConnectTimeoutException: HTTP connect timed out,none
ghanaembassy.it,200,none
giustizia-amministrativa.it,ConnectException,10 giustiziaamministrativa-it02c.mail.protection.outlook.com.
gpdp.it,200,20 mx2.gpdp.it.; 10 mx1.gpdp.it.
granicoltura.it,301,10 mx.granicoltura.it.
guardiacostieraausiliaria.it,200,1 smtp.google.com.
humantechnopole.it,301,10 mail.register.it.
iamb.it,ConnectException,none
iasi.cnr.it,HttpConnectTimeoutException: HTTP connect timed out,10 mx-istituti.cnr.it.
icbsa.it,HttpConnectTimeoutException: HTTP connect timed out,10 mail.icbsa.it.
iccd.beniculturali.it,200,none
iccu.sbn.it,302,none
igmi.org,200,2 mx02.leonet.it.; 1 mx.leonet.it.
iit.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 iit-it.mail.protection.outlook.com.
ilgranoduro.it,SSLHandshakeException: Remote host terminated the handshake,none
imati.cnr.it,200,none
