subdomain,parent_domain,http_status
wshub.103.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
wuse.water.gov.kg,gov.kg,"Operation timed out after 3000 milliseconds with 0 bytes received"
www.2020.edu.gov.kg,gov.kg,"Could not resolve host: www.2020.edu.gov.kg"
www.24.edu.gov.kg,gov.kg,"Could not resolve host: www.24.edu.gov.kg"
www.account.mektep.edu.gov.kg,gov.kg,"Could not resolve host: www.account.mektep.edu.gov.kg"
www.agro.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'www.agro.gov.kg'"
www.agroprod.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
www.agrosmart.gov.kg,gov.kg,"Could not resolve host: www.agrosmart.gov.kg"
www.apnip.water.gov.kg,gov.kg,"Could not resolve host: www.apnip.water.gov.kg"
www.asula.edu.gov.kg,gov.kg,"Could not resolve host: www.asula.edu.gov.kg"
www.ayulmaalimat.gov.kg,gov.kg,"Could not resolve host: www.ayulmaalimat.gov.kg"
www.balabakcha.edu.gov.kg,gov.kg,"Could not resolve host: www.balabakcha.edu.gov.kg"
www.basma.gov.kg,gov.kg,"Recv failure: Connexion ré-initialisée par le correspondant"
www.bb.edu.gov.kg,gov.kg,"Could not resolve host: www.bb.edu.gov.kg"
www.cabinet.mektep.edu.gov.kg,gov.kg,"Could not resolve host: www.cabinet.mektep.edu.gov.kg"
www.cgsn.gov.kg,gov.kg,"Recv failure: Connexion ré-initialisée par le correspondant"
www.covid.gov.kg,gov.kg,"Resolving timed out after 3000 milliseconds"
www.data.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'www.data.gov.kg'"
www.digital.gov.kg,gov.kg,"403"
www.ds.edu.gov.kg,gov.kg,"Could not resolve host: www.ds.edu.gov.kg"
www.edu.gov.kg,gov.kg,"Could not resolve host: www.edu.gov.kg"
www.elicense.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'www.elicense.gov.kg'"
www.emis.edu.gov.kg,gov.kg,"Could not resolve host: www.emis.edu.gov.kg"
www.exam.fsa.gov.kg,gov.kg,"Could not resolve host: www.exam.fsa.gov.kg"
www.export.gov.kg,gov.kg,"Could not resolve host: www.export.gov.kg"
www.finpol.gov.kg,gov.kg,"Could not resolve host: www.finpol.gov.kg"
www.fsa.gov.kg,gov.kg,"301"
www.gknb.gov.kg,gov.kg,"Could not resolve host: www.gknb.gov.kg"
www.gosuslugi.nas.gov.kg,gov.kg,"Resolving timed out after 3000 milliseconds"
www.gov.kg,gov.kg,"Could not resolve host: www.gov.kg"
www.grs.gov.kg,gov.kg,"Could not resolve host: www.grs.gov.kg"
