hostname,mentions,evidence
bundesumweltministerium.de,1,"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit"
bundesverfassungsgericht.de,1,Bundesverfassungsgericht
bundeswahlleiterin.de,1,Bundeswahlleiterin
bundeswehr.de,183,1. Panzerdivision | 10. Panzerdivision | ABC-Abwehrkommando der Bundeswehr | Amt für Heeresentwicklung | Assessmentcenter für Führungskräfte der Bu...
bundeswehrkarriere.de,6,Karrierecenter der Bundeswehr Berlin | Karrierecenter der Bundeswehr Düsseldorf | Karrierecenter der Bundeswehr Hannover | Karrierecenter der Bunde...
bundeswirtschaftsministerium.de,1,Bundesministerium für Wirtschaft und Energie
bva.bund.de,1,Bundesverwaltungsamt
bverwg.de,1,Bundesverwaltungsgericht
bvl.bund.de,1,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit
bvpraevention.de,1,Bundesvereinigung Prävention und Gesundheitsförderung e. V.
bvs.bund.de,1,Bundesanstalt für vereinigungsbedingte Sonderaufgaben
bvvg.de,1,BVVG Bodenverwertungs- und -verwaltungs GmbH
bwconsulting.de,1,BwConsulting GmbH
bzkj.de,1,Bundeszentrale für Kinder- und Jugendmedienschutz
bzst.bund.de,1,Bundeszentralamt für Steuern
caritas.de,1,Deutscher Caritasverband e. V.
catalysis.de,1,Leibniz-Institut für Katalyse e. V.
cir.bundeswehr.de,7,Informationstechnikbataillon 281 | Informationstechnikbataillon 282 | Informationstechnikbataillon 292 | Informationstechnikbataillon 293 | Informa...
conact-org.de,1,ConAct - Koordinierungszentrum Deutsch-Israelischer Jugendaustausch
contergan-infoportal.de,1,Conterganstiftung
continentale-bkk.de,1,Continentale Betriebskrankenkasse
daad-akademie.de,1,Deutscher Akademischer Austauschdienst e. V.
dagstuhl.de,1,Schloss Dagstuhl - Leibniz-Zentrum für Informatik GmbH
dainst.org,1,Deutsches Archäologisches Institut
dakks.de,1,Deutsche Akkreditierungsstelle GmbH
dbb.de,1,dbb beamtenbund und tarifunion
dbfz.de,1,Deutsches Biomasseforschungszentrum gemeinnützige GmbH
dbjr.de,1,Deutscher Bundesjugendring
dbu.de,1,Deutsche Bundesstiftung Umwelt
ddz.de,1,Deutsches Diabetes-Zentrum
deginvest.de,1,Deutsche Investitions- und Entwicklungsgesellschaft
deine-gesundheitswelt.de,1,Allgemeine Ortskrankenkasse Sachsen-Anhalt
deka.de,1,DekaBank Deutsche Girozentrale AöR
der-paritaetische.de,1,Der Paritätische Gesamtverband e. V.
destatis.de,1,Statistisches Bundesamt
desy.de,1,Deutsches Elektronen-Synchrotron DESY
deutsche-finanzagentur.de,1,Bundesrepublik Deutschland - Finanzagentur GmbH
deutsche-kinemathek.de,1,Deutsche Kinemathek - Museum für Film und Fernsehen
deutsche-rentenversicherung.de,1,Deutsche Rentenversicherung Bund
deutsche-stiftung-engagement-und-ehrenamt.de,1,Deutsche Stiftung für Engagement und Ehrenamt
deutschepost.de,1,Deutsche Post AG Niederlassung Renten Service
deutscher-verein.de,1,Deutscher Verein für öffentliche und private Fürsorge e. V.
deutsches-museum.de,1,Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik
deutschesheer.de,3,Gefechtssimulationszentrum Heer | Gefechtsübungszentrum Heer | Internationales Hubschrauberausbildungszentrum
deutscheweine.de,1,Deutsches Weininstitut GmbH
deval.org,1,Deutsches Evaluierungsinstitut der Entwicklungszusammenarbeit
dfg.de,1,Deutsche Forschungsgemeinschaft e. V.
dfh-ufa.org,1,Deutsch-Französische Hochschule
