subdomain,http_status,mx
blindenmarkt.gv.at,200,0 blindenmarkt-gv-at.mail.protection.outlook.com.
bluecoat-mgmt.ooe.gv.at,Could not resolve host: bluecoat-mgmt.ooe.gv.at,none
bluecoat1-mgmt.ooe.gv.at,Could not resolve host: bluecoat1-mgmt.ooe.gv.at,none
bluecoat2-mgmt.ooe.gv.at,Could not resolve host: bluecoat2-mgmt.ooe.gv.at,none
bmask.gv.at,SSL: no alternative certificate subject name matches target hostname 'bmask.gv.at',none
bmb.gv.at,301,none
bmbf.gv.at,Could not resolve host: bmbf.gv.at,none
bmeia.gv.at,Could not resolve host: bmeia.gv.at,none
bmf.gv.at,301,none
bmf.pawa.bmwfj.gv.at,Could not resolve host: bmf.pawa.bmwfj.gv.at,none
bmf.pawa.bmwfw.gv.at,Could not resolve host: bmf.pawa.bmwfw.gv.at,none
bmfj.gv.at,301,none
bmg.gv.at,302,none
bmgf.gv.at,302,none
bmiae.bmi.gv.at,Could not resolve host: bmiae.bmi.gv.at,none
bmiave.bmi.gv.at,Connection timed out after 3002 milliseconds,none
bmiwac.bmi.gv.at,Could not resolve host: bmiwac.bmi.gv.at,none
bmiwce.bmi.gv.at,Could not resolve host: bmiwce.bmi.gv.at,none
bmlfuw.gv.at,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
bmlv.gv.at,Could not resolve host: bmlv.gv.at,none
bmlvs.gv.at,Could not resolve host: bmlvs.gv.at,none
bmobv.bmwa.gv.at,Could not resolve host: bmobv.bmwa.gv.at,none
bmsgexbh-gb00.bmask.gv.at,Connection timed out after 3000 milliseconds,none
bmsgexbh-gb00.bmsk.gv.at,Could not resolve host: bmsgexbh-gb00.bmsk.gv.at,none
bmsgexbh-gb02.bmask.gv.at,Connection timed out after 3002 milliseconds,none
bmsgexbh-gb02.bmsk.gv.at,Resolving timed out after 3000 milliseconds,none
bmsgexbh-gp00.bmask.gv.at,Connection timed out after 3003 milliseconds,none
bmsgexbh-gp00.bmsk.gv.at,Connection timed out after 3000 milliseconds,none
bmsgexbh-gp02.bmask.gv.at,Connection timed out after 3002 milliseconds,none
bmsgexbh-gp02.bmsk.gv.at,Could not resolve host: bmsgexbh-gp02.bmsk.gv.at,none
bmvit.gv.at,Could not resolve host: bmvit.gv.at,none
bmwf.gv.at,Connection timed out after 3001 milliseconds,none
bmwfj.gv.at,Could not resolve host: bmwfj.gv.at,none
bmwfw.gv.at,Connection timed out after 3002 milliseconds,none
bom.bgld.gv.at,Could not resolve host: bom.bgld.gv.at,none
box1.bbg.gv.at,Connection timed out after 3000 milliseconds,none
box2.bbg.gv.at,Connection timed out after 3001 milliseconds,none
