hostname,score,sources,label,level,http_status,mx
gih.se,4,wikidata,Swedish School of Sport and Health Sciences,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 gih-se.mail.protection.outlook.com.
gotahovratt.se,4,wikidata,Göta Court of Appeal,,301,none
goteborg.se,4,wikidata,Q122750397,,200,10 mx2.hc2437-76.eu.iphmx.com.; 10 mx1.hc2437-76.eu.iphmx.com.
gotland.se,4,wikidata,Region Gotland,,200,20 mail2.gotland.se.; 10 mail.gotland.se.
han.se,4,wikidata,The Higher Education Expulsions Board,central,301,20 mx02.advania.cloud.; 10 mx01.advania.cloud.
harpsund.se,4,wikidata,Harpsund Committee,central,301,10 mailcluster.loopia.se.; 20 mail2.loopia.se.
havochvatten.se,4,wikidata,Swedish Agency for Marine and Water Management,central,302,20 se.mx2.mx25.net.; 40 se.mx4.mx25.net.; 30 se.mx3.mailanyone.net.; 10 se.mx1.mailanyone.net.
hb.se,4,wikidata,University of Borås,central,308,0 hb-se.mail.protection.outlook.com.
hh.se,4,wikidata,Halmstad University College,central,301,0 hh-se.mail.protection.outlook.com.
hig.se,4,wikidata,University of Gävle,central,301,0 hig-se.mail.protection.outlook.com.
his.se,4,wikidata,University of Skövde,central,301,0 fml0.his.se.
hkr.se,4,wikidata,Kristianstad University,central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching hkr.se found.,10 hkr-se.mail.protection.outlook.com.
hovrattenfornedrenorrland.se,4,wikidata,Court of Appeal for Southern Norrland,,301,none
hovrattenovrenorrland.domstol.se,4,wikidata,Court of Appeal for Northern Norrland,,301,none
hovrattenskaneblekinge.domstol.se,4,wikidata,Scania and Blekinge Court of Appeal,,301,none
hsan.se,4,wikidata,Medical Responsibility Board,central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching hsan.se found.,10 mail05.sos.se.; 10 mail04.sos.se.
hv.se,4,wikidata,University West,central,301,20 lmail02.server.hv.se.; 0 lmail01.server.hv.se.
iaf.se,4,wikidata,The Swedish Unemployment Insurance Inspectorate,central,200,30 se.mx3.mailanyone.net.; 20 se.mx2.mx25.net.; 10 se.mx1.mailanyone.net.; 40 se.mx4.mx25.net.
ifau.se,4,wikidata,Institute for Evaluation of Labour Market and Education Policy,central,301,20 mail2.loopia.se.; 10 mailcluster.loopia.se.
inspsf.se,4,wikidata,Swedish Social Insurance Inspectorate,central,ConnectException,10 inspsf-se.mail.protection.outlook.com.
isp.se,4,wikidata,Swedish Agency for Non-Proliferation and Export Controls,central,200,10 mail.isp.se.
ivo.se,4,wikidata,Health and Social Care Inspectorate,central,308,10 mx10.ivo.se.
jamstalldhetsmyndigheten.se,4,wikidata,Swedish Gender Equality Agency,central,200,1 jamstalldhetsmyndigheten-se.mail.protection.outlook.com.
jk.se,4,wikidata,Chancellor of Justice,central,HttpConnectTimeoutException: HTTP connect timed out,40 se.mx4.mx25.net.; 20 se.mx2.mx25.net.; 30 se.mx3.mailanyone.net.; 10 se.mx1.mailanyone.net.
jordbruksverket.se,4,wikidata,Swedish Board of Agriculture,central,200,30 se.mx3.mailanyone.net.; 20 se.mx2.mx25.net.; 40 se.mx4.mx25.net.; 10 se.mx1.mailanyone.net.
kammarrattenigoteborg.domstol.se,4,wikidata,administrative court of appeal in Gothenburg,,301,none
kammarrattenijonkoping.domstol.se,4,wikidata,administrative court of appeal in Jönköping,,301,none
kammarrattenisundsvall.se,4,wikidata,administrative court of appeal in Sundsvall,,301,none
karnavfallsfonden.se,4,wikidata,Nuclear Waste Fund,central,301,none
kau.se,4,wikidata,Karlstad University,central,302,10 kau-se.mail.protection.outlook.com.
kavlinge.se,4,wikidata,Q80207105,central,301,0 kavlinge-se.mail.protection.outlook.com.
kemi.se,4,wikidata,Swedish Chemicals Agency,central,301,10 kemi-se.mail.protection.outlook.com.
ki.se,4,wikidata,Karolinska Institutet,central,200,10 ki-se.mail.protection.outlook.com.
kkh.se,4,wikidata,Royal Institute of Art,central,200,10 kkh-se.mail.protection.outlook.com.
klimatpolitiskaradet.se,4,wikidata,Swedish Climate Policy Council,central,301,20 mailgw6.vinnova.se.; 10 mailgw5.vinnova.se.
kmh.se,4,wikidata,Royal College of Music in Stockholm,central,301,10 kmh-se.mail.protection.outlook.com.
kommerskollegium.se,4,wikidata,National Board of Trade,central,301,10 komspambx0001.kommerskollegium.se.
konj.se,4,wikidata,National Institute of Economic Research,central,301,5 mx-01-eu-central-1.prod.hydra.sophos.com.; 7 mx-02-eu-central-1.prod.hydra.sophos.com.
konkurrensverket.se,4,wikidata,Swedish Competition Authority,central,301,none
konstfack.se,4,wikidata,Konstfack,central,HttpConnectTimeoutException: HTTP connect timed out,10 konstfack-se.mail.protection.outlook.com.
konstnarsnamnden.se,4,wikidata,Swedish Arts Grants Committee,central,301,0 konstnarsnamnden-se.mail.protection.outlook.com.
konsumentverket.se,4,wikidata,Swedish Consumer Agency,central,301,0 konsumentverket-se.mail.protection.outlook.com.
kriminalvarden.se,4,wikidata,Swedish Prison and Probation Service,central,301,10 mailgw.kriminalvarden.se.
kronofogden.se,4,wikidata,Swedish Enforcement Authority,central,200,10 ansible.skatteverket.se.; 10 telegraf.skatteverket.se.; 10 marathon.skatteverket.se.
kulturanalys.se,4,wikidata,Swedish Agency for Cultural Policy Analysis,central,200,10 kulturanalys-se.mail.protection.outlook.com.
kulturradet.se,4,wikidata,Swedish Arts Council,central,200,1 kulturradet-se.mail.protection.outlook.com.
kungahuset.se,4,wikidata,Royal Court of Sweden,,301,10 kungahuset-se.mail.protection.outlook.com.
kustbevakningen.se,4,wikidata,Swedish Coast Guard,central,301,15 mail.kustbevakningen.se.; 10 mail.kbv.se.; 10 mail.coastguard.se.
