subdomain,parent_domain,http_status
jounieh.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'jounieh.gov.lb'"
joureteltermos.gov.lb,gov.lb,"Could not resolve host: joureteltermos.gov.lb"
justice.gov.lb,gov.lb,"200"
kafaraka.gov.lb,gov.lb,"302"
kafarmatta.gov.lb,gov.lb,"Could not resolve host: kafarmatta.gov.lb"
kahale.gov.lb,gov.lb,"Could not resolve host: kahale.gov.lb"
kanafar.gov.lb,gov.lb,"Could not resolve host: kanafar.gov.lb"
keserwanftouhfederation.gov.lb,gov.lb,"200"
kfarchima.gov.lb,gov.lb,"Could not resolve host: kfarchima.gov.lb"
kfardebian.gov.lb,gov.lb,"Could not resolve host: kfardebian.gov.lb"
khencharajouar.gov.lb,gov.lb,"301"
kousba.gov.lb,gov.lb,"Could not resolve host: kousba.gov.lb"
lafshield.lebarmy.gov.lb,gov.lb,"Connection timed out after 3002 milliseconds"
lafshield2.lebarmy.gov.lb,gov.lb,"Connection timed out after 3002 milliseconds"
lassa.gov.lb,gov.lb,"Could not resolve host: lassa.gov.lb"
lebanesearmy.gov.lb,gov.lb,"200"
lebarmy.gov.lb,gov.lb,"200"
lebsg.greenplan.gov.lb,gov.lb,"Could not resolve host: lebsg.greenplan.gov.lb"
lipe.lpa.gov.lb,gov.lb,"Recv failure: Connexion ré-initialisée par le correspondant"
lp.gov.lb,gov.lb,"Operation timed out after 3002 milliseconds with 0 bytes received"
lpa.gov.lb,gov.lb,"404"
lpdc.gov.lb,gov.lb,"Could not resolve host: lpdc.gov.lb"
lyncdiscover.finance.gov.lb,gov.lb,"Could not resolve host: lyncdiscover.finance.gov.lb"
maarakemunicipality.gov.lb,gov.lb,"Could not resolve host: maarakemunicipality.gov.lb"
mail.abeyaindrafil.gov.lb,gov.lb,"Could not resolve host: mail.abeyaindrafil.gov.lb"
mail.achache.gov.lb,gov.lb,"Could not resolve host: mail.achache.gov.lb"
mail.agriculture.gov.lb,gov.lb,"302"
mail.aineldelb.gov.lb,gov.lb,"Could not resolve host: mail.aineldelb.gov.lb"
mail.anteliasnaccache.gov.lb,gov.lb,"Could not resolve host: mail.anteliasnaccache.gov.lb"
mail.antoura.gov.lb,gov.lb,"TLS connect error: error:0A000126:SSL routines::unexpected eof while reading"
mail.ardeh.gov.lb,gov.lb,"Could not resolve host: mail.ardeh.gov.lb"
mail.barja.gov.lb,gov.lb,"Could not resolve host: mail.barja.gov.lb"
mail.bater.gov.lb,gov.lb,"Could not resolve host: mail.bater.gov.lb"
mail.batha.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'mail.batha.gov.lb'"
mail.batroun.gov.lb,gov.lb,"Could not resolve host: mail.batroun.gov.lb"
mail.beirutairport.gov.lb,gov.lb,"Could not resolve host: mail.beirutairport.gov.lb"
mail.biakout.gov.lb,gov.lb,"Could not resolve host: mail.biakout.gov.lb"
mail.bourjhammoud.gov.lb,gov.lb,"SSL certificate problem: self-signed certificate"
mail.caa.gov.lb,gov.lb,"Operation timed out after 3001 milliseconds with 0 bytes received"
mail.cc.gov.lb,gov.lb,"Could not resolve host: mail.cc.gov.lb"
mail.cdr.gov.lb,gov.lb,"302"
mail.ces.gov.lb,gov.lb,"Could not resolve host: mail.ces.gov.lb"
mail.chatine.gov.lb,gov.lb,"Could not resolve host: mail.chatine.gov.lb"
mail.chebaa.gov.lb,gov.lb,"Could not resolve host: mail.chebaa.gov.lb"
mail.chekka.gov.lb,gov.lb,"Could not resolve host: mail.chekka.gov.lb"
mail.civildefense.gov.lb,gov.lb,"404"
mail.clu.gov.lb,gov.lb,"200"
mail.cma.gov.lb,gov.lb,"403"
mail.councilforsouth.gov.lb,gov.lb,"301"
mail.dahiehmunicipalities.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'mail.dahiehmunicipalities.gov.lb'"
mail.daralfatwa.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'mail.daralfatwa.gov.lb'"
mail.darelfatwa.gov.lb,gov.lb,"526"
mail.darulfatwa.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'mail.darulfatwa.gov.lb'"
mail.dawlati.gov.lb,gov.lb,"Could not resolve host: mail.dawlati.gov.lb"
mail.dgca.gov.lb,gov.lb,"302"
mail.dguh.gov.lb,gov.lb,"Could not resolve host: mail.dguh.gov.lb"
mail.dmi.gov.lb,gov.lb,"Could not resolve host: mail.dmi.gov.lb"
