domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
carteblanche.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
casl.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-00689501.gslb.gpphosted.com.; 10 mxb-00689501.gslb.gpphosted.com.
catamarca.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Provincia de Catamarca,,registry,
catastrodecoahuila.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Catastro del Estado de Coahuila,,registry,
cavc.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cba.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Provincia de Córdoba,,registry,
cbca.gov,USA_united_states,central,member,Americas,English,84534,,,,5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.
cbhc.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Royal Commission on Ancient and Historical Monuments of Wales (Welsh acronym),,registry,
cbi-epa.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cbo.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-001ec201.gslb.pphosted.com.; 10 mxb-001ec201.gslb.pphosted.com.
cbonews.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-001ec201.gslb.pphosted.com.; 20 mxb-001ec201.gslb.pphosted.com.
cbp.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ccac.gov,USA_united_states,central,member,Americas,English,84534,,,,10 cwmailhub1in.treasury.gov.; 10 cemailhub1in.treasury.gov.
ccb.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-00026101.gslb.gpphosted.com.; 10 mxb-00026101.gslb.gpphosted.com.
cccedomex.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Centro de Control de Confianza del Estado de México,,registry,
cctnsup.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Uttar Pradesh Police CCTNS,,registry,
cdc.gov,USA_united_states,central,member,Americas,English,84534,,,,20 alt1.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.
cdcpartners.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cdfifund.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cdmx.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Ciudad de México,,registry,
cdo.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ce-ncsc.gov,USA_united_states,central,member,Americas,English,84534,,,,10 inbound-smtp.us-east-1.amazonaws.com.
ce.gov.br,BRA_brazil,central-1,member,Americas,Portuguese,10713,Ceará,,registry,
ceaqueretaro.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Comisión Estatal de Aguas de Querétaro,,registry,
