domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
hiv.gov,USA_united_states,central,member,Americas,English,84534,,,,10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 20 alt1.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.
hive.gov,USA_united_states,central,member,Americas,English,84534,,,,none
hivolda.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
hkdir.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
hlj.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Heilongjiang,,registry,
hljcredit.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Heilongjiang Credit Platform,,registry,
hljedu.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Heilongjiang Education Department,,registry,
hljga.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Heilongjiang Public Security Department,,registry,
hljggzyjyw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Heilongjiang Public Resources Trading Network,,registry,
hljwht.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Heilongjiang Culture Department,,registry,
hm.ee,EST_estonia,central,member,Europe,Estonian,34418,,,,10 mail1.rit.ee.; 10 mail3.rit.ee.
hnt.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
hnzwfw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Henan Government Service Network,,registry,
hol-fjellstyre.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
homeenergyscore.gov,USA_united_states,central,member,Americas,English,84534,,,,none
homelandsecurity.gov,USA_united_states,central,member,Americas,English,84534,,,,none
homereportscotland.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Home Report Scotland,,registry,
hospitalsantojanni.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Hospital General de Agudos Donación Francisco Santojanni (CABA),,registry,
house.gov,USA_united_states,central,member,Americas,English,84534,,,,none
housecalendar.gov,USA_united_states,central,member,Americas,English,84534,,,,none
housecommunications.gov,USA_united_states,central,member,Americas,English,84534,,,,none
housed.gov,USA_united_states,central,member,Americas,English,84534,,,,none
housedemocrats.gov,USA_united_states,central,member,Americas,English,84534,,,,none
housedems.gov,USA_united_states,central,member,Americas,English,84534,,,,none
houselive.gov,USA_united_states,central,member,Americas,English,84534,,,,none
housenewsletters.gov,USA_united_states,central,member,Americas,English,84534,,,,none
hovedredningssentralen.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
hp.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Himachal Pradesh,,registry,
hptax.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Excise and Taxation Department (Himachal Pradesh),,registry,
hptenders.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Himachal Pradesh e-procurement,,registry,
hrmsorissa.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Human Resources Management System (Odisha),,registry,
hrsa.gov,USA_united_states,central,member,Americas,English,84534,,,,10 nihcesxwayst03.hub.nih.gov.; 10 nihcesxwayst06.hub.nih.gov.; 10 nihcesxway6.hub.nih.gov.; 10 nihcesxwayst05.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxwayst04.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway4.hub.nih.gov.
hseni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Health and Safety Executive Northern Ireland,,registry,
hsi.gov,USA_united_states,central,member,Americas,English,84534,,,,none
hsr.gov,USA_united_states,central,member,Americas,English,84534,,,,none
hstf.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-00376703.gslb.gpphosted.com.; 10 mxb-00376703.gslb.gpphosted.com.
hubei.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Hubei,,registry,
hud.gov,USA_united_states,central,member,Americas,English,84534,,,,0 hud-gov.mail.protection.outlook.com.
huda.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Haryana Urban Development Authority,,registry,
hudhomestore.gov,USA_united_states,central,member,Americas,English,84534,,,,none
hudoig.gov,USA_united_states,central,member,Americas,English,84534,,,,0 hudoig-gov.mail.protection.outlook.com.
huduser.gov,USA_united_states,central,member,Americas,English,84534,,,,20 alt1.aspmx.l.google.com.; 20 alt2.aspmx.l.google.com.; 50 alt3.aspmx.l.google.com.; 50 alt4.aspmx.l.google.com.; 10 aspmx.l.google.com.
humanities.gov,USA_united_states,central,member,Americas,English,84534,,,,none
hunan.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Hunan,,registry,
hunanjs.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Hunan Department of Construction,,registry,
hurricanes.gov,USA_united_states,central,member,Americas,English,84534,,,,none
hvl.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
hydrogen.gov,USA_united_states,central,member,Americas,English,84534,,,,none
iad.gov,USA_united_states,central,member,Americas,English,84534,,,,30 emsm-gh1-uea11.ncsc.mil.; 10 pri-jeemsg.eemsg.mail.mil.; 30 emsm-gh1-uea10.ncsc.mil.; 20 sec-jeemsg.eemsg.mail.mil.
iaf.gov,USA_united_states,central,member,Americas,English,84534,,,,5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 aspmx2.googlemail.com.; 10 aspmx3.googlemail.com.
iarpa-ideas.gov,USA_united_states,central,member,Americas,English,84534,,,,none
iarpa.gov,USA_united_states,central,member,Americas,English,84534,,,,0 iarpa-gov.mail.protection.outlook.com.
iasep.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Instituto de Asistencia Social para Empleados Públicos (Formosa),,registry,
iat.gov,USA_united_states,central,member,Americas,English,84534,,,,none
iawg.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ibab.gov,USA_united_states,central,member,Americas,English,84534,,,,10 ibab-gov.mail.protection.outlook.com.
ibb.gov,USA_united_states,central,member,Americas,English,84534,,,,0 ibb-gov.mail.protection.outlook.com.
ibwc.gov,USA_united_states,central,member,Americas,English,84534,,,,0 ibwc-gov.mail.protection.outlook.com.
ibz.be,BEL_belgium,central,member,Europe,German; French; Dutch,60750,,,,none
ic.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ic3.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mail1.ic3.gov.; 25 mail2.ic3.gov.
icams-portal.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ice.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ich.gov,USA_united_states,central,member,Americas,English,84534,,,,0 ich.gov.
icjointduty.gov,USA_united_states,central,member,Americas,English,84534,,,,none
icts.gov,USA_united_states,central,member,Americas,English,84534,,,,none
icvnl.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto de Control Vehicular de Nuevo León,,registry,
idealab.gov,USA_united_states,central,member,Americas,English,84534,,,,10 smtp2.ees.hhs.gov.; 20 smtp.ees.hhs.gov.
identitysandbox.gov,USA_united_states,central,member,Americas,English,84534,,,,10 inbound-smtp.us-west-2.amazonaws.com.
identitytheft.gov,USA_united_states,central,member,Americas,English,84534,,,,10 identitytheft-gov.mail.protection.outlook.com.
idfc.gov,USA_united_states,central,member,Americas,English,84534,,,,none
idmanagement.gov,USA_united_states,central,member,Americas,English,84534,,,,none
idpnl.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto de Defensoría Pública de Nuevo León,,registry,
iedison.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ifmsodisha.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Integrated Financial Management System (Odisha),,registry,
ifrem.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto de la Función Registral del Estado de México,,registry,
igesa.fr,FRA_france,central,member,Europe,French,48986,,,,0 igesa-fr.mail.protection.outlook.com.
ignet.gov,USA_united_states,central,member,Americas,English,84534,,,,none
igorville.gov,USA_united_states,central,member,Americas,English,84534,,,,none
igrmaharashtra.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Inspector General of Registration (Maharashtra),,registry,
igualdad.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,10 mail1.correo.gob.es.; 10 mail2.correo.gob.es.
ihedn.fr,FRA_france,central,member,Europe,French,48986,,,,5 ihedn.mailinblack.com.; 100 mx0.mailinblack.com.
ihs.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-0064a601.gslb.gpphosted.com.; 10 mxb-0064a601.gslb.gpphosted.com.
imdi.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
imls.gov,USA_united_states,central,member,Americas,English,84534,,,,0 imls-gov.mail.protection.outlook.com.
imostate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Imo State,,registry,
imr.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
inatur.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
inclusion.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,none
indebc.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto del Deporte de Baja California,,registry,
indianaffairs.gov,USA_united_states,central,member,Americas,English,84534,,,,0 indianaffairs-gov.mail.protection.outlook.com.
indivibc.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto para el Desarrollo Inmobiliario y de la Vivienda de Baja California,,registry,
inel.gov,USA_united_states,central,member,Americas,English,84534,,,,none
info-militaire.fr,FRA_france,central,member,Europe,French,48986,,,,10 mx00.ionos.fr.; 10 mx01.ionos.fr.
info.gov,USA_united_states,central,member,Americas,English,84534,,,,none
informationliteracy.gov,USA_united_states,central,member,Americas,English,84534,,,,0 informationliteracy-gov.mail.protection.outlook.com.
infrastructure-ni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,,,registry,
infuetur.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Instituto Fueguino de Turismo (Tierra del Fuego),,registry,
inl.gov,USA_united_states,central,member,Americas,English,84534,,,,100 inl-gov.mail.protection.outlook.com.
innovation.gov,USA_united_states,central,member,Americas,English,84534,,,,none
inria.fr,FRA_france,central,member,Europe,French,48986,,,,10 mail3-smtp-sop.national.inria.fr.; 10 mail2-smtp-roc.national.inria.fr.
insee.fr,FRA_france,central,member,Europe,French,48986,,,,30 heimdall2.insee.fr.; 20 freyja.insee.fr.; 10 heimdall.insee.fr.; 40 freyja2.insee.fr.
insep.fr,FRA_france,central,member,Europe,French,48986,,,,20 vade-mx-eu-fallback01.hornetsecurity.com.; 10 vade-mx-fr02.hornetsecurity.com.; 20 vade-mx-eu-fallback02.hornetsecurity.com.; 10 vade-mx-fr01.hornetsecurity.com.
insssep.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Instituto de Seguridad Social Seguros y Préstamos (Chaco),,registry,
insurekidsnow.gov,USA_united_states,central,member,Americas,English,84534,,,,none
integrity.gov,USA_united_states,central,member,Americas,English,84534,,,,10 www.integrity.gov.
intel.gov,USA_united_states,central,member,Americas,English,84534,,,,none
intelink.gov,USA_united_states,central,member,Americas,English,84534,,,,20 post1.intelink.gov.; 20 post2.intelink.gov.
intelligence.gov,USA_united_states,central,member,Americas,English,84534,,,,none
intelligencecareers.gov,USA_united_states,central,member,Americas,English,84534,,,,10 pri-jeemsg.eemsg.mail.mil.; 30 emsm-gh1-uea10.ncsc.mil.; 20 sec-jeemsg.eemsg.mail.mil.; 30 emsm-gh1-uea11.ncsc.mil.
interior.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,none
interior.gov,USA_united_states,central,member,Americas,English,84534,,,,0 interior-gov.mail.protection.outlook.com.
intermin.fi,FIN_finland,central,member,Europe,Finnish; Swedish,56149,,,,20 mail-in.tuve.fi.
interpol.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mx-da6.usdoj.gov.; 10 mx-dc2.usdoj.gov.
invalides.fr,FRA_france,central,member,Europe,French,48986,,,,5 heimdall.invalides.fr.; 10 mail.invalides.fr.
invasivespecies.gov,USA_united_states,central,member,Americas,English,84534,,,,none
invasivespeciesinfo.gov,USA_united_states,central,member,Americas,English,84534,,,,10 invasivespeciesinfo-gov.mail.protection.outlook.com.
investbeijing.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Investment Promotion (Invest Beijing),,registry,
investkarnataka.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Invest Karnataka,,registry,
investor.gov,USA_united_states,central,member,Americas,English,84534,,,,none
investpunjab.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Invest Punjab,,registry,
iosper.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Instituto de Obra Social de la Provincia de Entre Ríos,,registry,
ioss.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ipejal.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto de Pensiones del Estado de Jalisco,,registry,
ipp.gov,USA_united_states,central,member,Americas,English,84534,,,,none
iprcenter.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ird.fr,FRA_france,central,member,Europe,French,48986,,,,10 mx2.relay.renater.fr.; 10 mx1.relay.renater.fr.
ireland.ie,IRL_ireland,central,member,Europe,English; Irish,112895,,,,20 ALT2.ASPMX.L.GOOGLE.COM.; 20 ALT1.ASPMX.L.GOOGLE.COM.; 10 ASPMX.L.GOOGLE.COM.
irs.gov,USA_united_states,central,member,Americas,English,84534,,,,20 emgw.irs.gov.; 10 emgc.irs.gov.; 10 emge.irs.gov.
irsauctions.gov,USA_united_states,central,member,Americas,English,84534,,,,none
irsem.fr,FRA_france,central,member,Europe,French,48986,,,,10 mx00.ionos.fr.; 10 mx01.ionos.fr.
irsnet.gov,USA_united_states,central,member,Americas,English,84534,,,,none
irssales.gov,USA_united_states,central,member,Americas,English,84534,,,,none
irsvideos.gov,USA_united_states,central,member,Americas,English,84534,,,,none
isapeg.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto de Salud Pública del Estado de Guanajuato,,registry,
ischigualasto.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Parque Provincial Ischigualasto (San Juan),,registry,
ise.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ism.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,0 .
isni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Investment Strategy Northern Ireland,,registry,
isotope.gov,USA_united_states,central,member,Americas,English,84534,,,,5 MTA02.ORNL.gov.; 5 MTA01.ORNL.gov.
isotopes.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-00689501.gslb.gpphosted.com.; 10 mxa-00689501.gslb.gpphosted.com.
ispartaozelidare.gov.tr,TUR_turkey,central-1,member,Asia,Turkish,15893,Isparta İl Özel İdaresi,,registry,
isseg.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto de Seguridad Social del Estado de Guanajuato,,registry,
issemym.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Instituto de Seguridad Social del Estado de México y Municipios,,registry,
issn.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Instituto de Seguridad Social del Neuquén,,registry,
issstecali.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,ISSSTECALI (seguridad social del Estado de Baja California),,registry,
issys.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Instituto de Seguridad Social y Seguros (Chubut),,registry,
istac.gov,USA_united_states,central,member,Americas,English,84534,,,,50 mail2.cia.gov.; 10 mail1.cia.gov.
istruzione.it,ITA_italy,central,member,Europe,Italian; Catalan,43309,,,,none
itdashboard.gov,USA_united_states,central,member,Americas,English,84534,,,,none
itis.gov,USA_united_states,central,member,Americas,English,84534,,,,0 itis-gov.mail.protection.outlook.com.
its.gov,USA_united_states,central,member,Americas,English,84534,,,,none
itschool.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,IT@School Project (Kerala),,registry,
iwtsd.gov,USA_united_states,central,member,Americas,English,84534,,,,10 iwtsd.mail.protection.office365.us.
jalisco.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Jalisco (estado),,registry,
jamesmadison.gov,USA_united_states,central,member,Americas,English,84534,,,,0 jamesmadison-gov.mail.protection.outlook.com.
jccbi.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jccs.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jcode.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jct.gov,USA_united_states,central,member,Americas,English,84534,,,,20 mx0f-005d5501.gpphosted.com.; 10 mx0e-005d5501.gpphosted.com.
jem.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jewishheritage.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jewishheritagemonth.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jfklibrary.gov,USA_united_states,central,member,Americas,English,84534,,,,10 us.etp.fireeyegov.com.
jharkhand.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Jharkhand,,registry,
jharkhandcomtax.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Commercial Taxes Department (Jharkhand),,registry,
jharkhandtenders.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Jharkhand e-procurement,,registry,
jhpolice.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Jharkhand Police,,registry,
jiangsu.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu,,registry,
jiangxi.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangxi,,registry,
jigawastate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Jigawa State,,registry,
jimmycarterlibrary.gov,USA_united_states,central,member,Americas,English,84534,,,,10 us.etp.fireeyegov.com.
jk.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Jammu and Kashmir,,registry,
jkcomtax.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Commercial Taxes Department (Jammu and Kashmir),,registry,
jktenders.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Jammu and Kashmir e-procurement,,registry,
jl.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jilin,,registry,
jljt.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jilin Transportation Department,,registry,
jlta.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jilin Tourism Administration,,registry,
jobcorps.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-00801502.gslb.gpphosted.com.; 10 mxb-00801502.gslb.gpphosted.com.
johor.gov.my,MYS_malaysia,central-1,member,Asia,English; Malay,13125,Johor,,registry,
joinamericorps.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jomfrulandnasjonalpark.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
jpo.gov,USA_united_states,central,member,Americas,English,84534,,,,10 inbound-smtp.us-east-1.amazonaws.com.
jpsc.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Jharkhand Public Service Commission,,registry,
jpscotland.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Justices of the Peace Scotland,,registry,
js-l-tax.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Local Taxation,,registry,
js.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu (variant domain),,registry,
jsds.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Local Taxation Bureau,,registry,
jsfpc.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Population and Family Planning Commission,,registry,
jsga.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Public Security Department,,registry,
jsgsj.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Administration for Industry and Commerce,,registry,
jshb.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Environmental Protection Department,,registry,
jssi.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Social Insurance,,registry,
jswjw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Health and Family Planning Commission,,registry,
jsws.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Health Department,,registry,
jszwfw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangsu Government Services,,registry,
judicialconference.gov,USA_united_states,central,member,Americas,English,84534,,,,none
juicioenlineasinaloa.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Juicio en línea (justicia del Estado de Sinaloa),,registry,
jujuy.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Provincia de Jujuy,,registry,
juntos.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jusbaires.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial de la Ciudad Autónoma de Buenos Aires,,registry,
jusfc.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mx1.mtaroutes.com.; 30 mx3.mtaroutes.com.; 20 mx2.mtaroutes.com.; 40 mx4.mtaroutes.com.
jusrionegro.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial de Río Negro,,registry,
jussantacruz.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial de Santa Cruz,,registry,
justauth.gov,USA_united_states,central,member,Americas,English,84534,,,,none
justdigi.ee,EST_estonia,central,member,Europe,Estonian,34418,,,,10 mail3.rit.ee.; 10 mail1.rit.ee.
justervesenet.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
justice-ni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,,,registry,
justice.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mx-da6.usdoj.gov.; 10 mx-dc2.usdoj.gov.
justiciachaco.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial del Chaco,,registry,
justiciacordoba.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial de Córdoba,,registry,
justiciajujuy.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial de Jujuy,,registry,
justicialapampa.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial de La Pampa,,registry,
justicialarioja.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Poder Judicial de La Rioja,,registry,
justiciapenalaguascalientes.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Sistema de Justicia Penal de Aguascalientes,,registry,
justismuseet.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
justitsministeriet.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,0 .
justthinktwice.gov,USA_united_states,central,member,Americas,English,84534,,,,none
juventudeinfancia.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,10 juventudeinfancia-gob-es.mail.protection.outlook.com.
jwod.gov,USA_united_states,central,member,Americas,English,84534,,,,none
jx.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangxi (variant domain),,registry,
jxedu.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangxi Education Department,,registry,
jxwater.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Jiangxi Water Resources Department,,registry,
kadunastate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Kaduna State,,registry,
kaitseministeerium.ee,EST_estonia,central,member,Europe,Estonian,34418,,,,5 fmail.mil.ee.
kam.lt,LTU_lithuania,central,member,Europe,Lithuanian,32959,,,,10 smtpin.mil.lt.
kanostate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Kano State,,registry,
karabukozelidare.gov.tr,TUR_turkey,central-1,member,Asia,Turkish,15893,Karabük İl Özel İdaresi,,registry,
karnataka.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Karnataka,,registry,
karsozelidarecbs.gov.tr,TUR_turkey,central-1,member,Asia,Turkish,15893,Kars İl Özel İdaresi (CBS),,registry,
katsinastate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Katsina State,,registry,
kebbistate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Kebbi State,,registry,
kedah.gov.my,MYS_malaysia,central-1,member,Asia,English; Malay,13125,Kedah,,registry,
kefm.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.
kelantan.gov.my,MYS_malaysia,central-1,member,Asia,English; Malay,13125,Kelantan,,registry,
kennedy-center.gov,USA_united_states,central,member,Americas,English,84534,,,,0 kennedycenter-gov01i.mail.protection.outlook.com.
kerala.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Kerala,,registry,
keralamvd.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Motor Vehicles Department (Kerala),,registry,
keralanews.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Information and Public Relations Department (Kerala),,registry,
keralapolice.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Kerala Police,,registry,
keralapoliceacademy.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Kerala Police Academy,,registry,
keralaprisons.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Prisons Department (Kerala),,registry,
keralawomen.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Kerala Women's Commission,,registry,
kfir.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
khajane2.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Khajane-II treasury system (Karnataka),,registry,
kids.gov,USA_united_states,central,member,Americas,English,84534,,,,none
km.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,0 km-dk.mail.protection.outlook.com.
kmvn.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Kumaon Mandal Vikas Nigam (Uttarakhand),,registry,
know2protect.gov,USA_united_states,central,member,Americas,English,84534,,,,none
kogistate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Kogi State,,registry,
konfliktraadet.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
kongehuset.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
konkurransetilsynet.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
kormany.hu,HUN_hungary,central,member,Europe,Hungarian,25907,,,,10 mailgw4.ei.gov.hu.; 10 mailgw3.ei.gov.hu.; 10 mailgw2.ei.gov.hu.; 10 mailgw1.ei.gov.hu.
