hostname,country,label,website
juniv.edu,BGD_bangladesh,Jahangirnagar University,http://www.juniv.edu/
just.edu.bd,BGD_bangladesh,Jashore University of Science and Technology,http://www.just.edu.bd/
kau.ac.bd,BGD_bangladesh,Khulna Agricultural University,https://kau.ac.bd/
ku.ac.bd,BGD_bangladesh,Khulna University,http://www.ku.ac.bd/
kuet.ac.bd,BGD_bangladesh,Khulna University of Engineering & Technology,http://kuet.ac.bd
kuriau.edu.bd,BGD_bangladesh,Kurigram Agricultural University,https://www.kuriau.edu.bd/
mbstu.ac.bd,BGD_bangladesh,Mawlana Bhashani Science and Technology University,http://www.mbstu.ac.bd/
nau.ac.bd,BGD_bangladesh,Naogaon University,https://nau.ac.bd/
neu.ac.bd,BGD_bangladesh,Netrokona University,https://neu.ac.bd
nstu.edu.bd,BGD_bangladesh,Noakhali Science and Technology University,https://www.nstu.edu.bd/
nu.edu.bd,BGD_bangladesh,National University,http://www.nu.edu.bd/
pstu.ac.bd,BGD_bangladesh,Patuakhali Science and Technology University,http://www.pstu.ac.bd/
pust.ac.bd,BGD_bangladesh,Pabna University of Science and Technology,http://www.pust.ac.bd/
rmu.edu.bd,BGD_bangladesh,Rajshahi Medical University,https://www.rmu.edu.bd/
ru.ac.bd,BGD_bangladesh,University of Rajshahi,https://www.ru.ac.bd/
rub.ac.bd,BGD_bangladesh,"Rabindra University, Bangladesh",https://www.rub.ac.bd
ruet.ac.bd,BGD_bangladesh,Rajshahi University of Engineering & Technology,https://www.ruet.ac.bd/
sau.ac.bd,BGD_bangladesh,Sylhet Agricultural University,http://www.sau.ac.bd/
sau.edu.bd,BGD_bangladesh,Sher-e-Bangla Agricultural University,http://www.sau.edu.bd
shmu.ac.bd,BGD_bangladesh,Khulna Medical University,https://shmu.ac.bd/
sust.edu,BGD_bangladesh,Shahjalal University of Science and Technology,https://www.sust.edu/
uftb.ac.bd,BGD_bangladesh,"University of Frontier Technology, Bangladesh",https://uftb.ac.bd
mu-varna.bg,BGR_bulgaria,Medical University of Varna,https://www.mu-varna.bg
nvu.bg,BGR_bulgaria,Vasil Levski National Military University,http://www.nvu.bg/
uni-sofia.bg,BGR_bulgaria,Sofia University,https://uni-sofia.bg
unwe.bg,BGR_bulgaria,University of National and World Economy,https://www.unwe.bg/
uob.edu.bh,BHR_bahrain,University of Bahrain,https://www.uob.edu.bh/?lang=ar
ffuis.edu.ba,BIH_bosnia_and_herzegovina,"Faculty of Philosophy, University of East Sarajevo",http://www.ffuis.edu.ba/
fpn.unibl.org,BIH_bosnia_and_herzegovina,Faculty of Political Science,https://fpn.unibl.org
unibl.org,BIH_bosnia_and_herzegovina,University of Banja Luka,https://unibl.org/
unsa.ba,BIH_bosnia_and_herzegovina,University of Sarajevo,https://www.unsa.ba/
bgam.by,BLR_belarus,Belarusian State Academy of Music,https://www.bgam.by/
bsu.by,BLR_belarus,Belarusian State University,http://www.bsu.by
en.grsu.by,BLR_belarus,Yanka Kupala State University of Grodno,https://en.grsu.by/index.php?lang=en
grsu.by,BLR_belarus,Yanka Kupala State University of Grodno,https://www.grsu.by/
mspu.by,BLR_belarus,Mozyr State Pedagogical University named after I.P. Shamyakin,http://mspu.by
uabjb.edu.bo,BOL_bolivia,Universidad Autónoma del Beni,https://uabjb.edu.bo/
assis.unesp.br,BRA_brazil,Q127256645,https://www.assis.unesp.br/
englishversion.ufersa.edu.br,BRA_brazil,Universidade Federal Rural do Semi-Árido,https://englishversion.ufersa.edu.br/
fema.edu.br,BRA_brazil,Fundação Educacional do Município de Assis,http://www.fema.edu.br
international.unb.br,BRA_brazil,University of Brasília,https://international.unb.br/
portais.univasf.edu.br,BRA_brazil,Universidade Federal do Vale do São Francisco,https://portais.univasf.edu.br/
portal.ufpa.br,BRA_brazil,Universidade Federal do Pará,http://www.portal.ufpa.br/
portal.ufpel.edu.br,BRA_brazil,Federal University of Pelotas,https://portal.ufpel.edu.br/
portal.unila.edu.br,BRA_brazil,Universidade Federal da Integração Latino-Americana,https://portal.unila.edu.br/
portalufj.jatai.ufg.br,BRA_brazil,Federal University of Jataí,http://portalufj.jatai.ufg.br/
ri.ufabc.edu.br,BRA_brazil,Federal University of ABC,http://ri.ufabc.edu.br/en/
udesc.br,BRA_brazil,Universidade do Estado de Santa Catarina,http://www.udesc.br
uefs.br,BRA_brazil,State University of Feira de Santana,http://www.uefs.br
uel.br,BRA_brazil,State University of Londrina,http://www.uel.br
uemasul.edu.br,BRA_brazil,Universidade Estadual da Região Tocantina do Maranhão,http://www.uemasul.edu.br/avaliacao.php
