subdomain,http_status,mx
hrpms.sltf.gov.gh,Connection timed out after 3001 milliseconds,dig error
hrportal.nita.gov.gh,SSL certificate problem: self-signed certificate,none
hth.gov.gh,200,none
imccod.gov.gh,200,none
immigration.gov.gh,Connection timed out after 3001 milliseconds,none
indexing.ntc.gov.gh,200,none
intranet.mofep.gov.gh,Connection timed out after 3001 milliseconds,none
ipportal.nita.gov.gh,Could not resolve host: ipportal.nita.gov.gh,none
jobs.nss.gov.gh,Could not resolve host: jobs.nss.gov.gh,none
judicial.gov.gh,200,dig error
kbth.gov.gh,200,none
kbth.gov.gh.cp-1.webhostbox.net,SSL: no alternative certificate subject name matches target hostname 'kbth.gov.gh.cp-1.webhostbox.net',none
ketusouth.gov.gh,SSL certificate problem: certificate has expired,none
kroma.gov.gh,200,none
lc.gov.gh,301,none
lepool.eworkspace.gov.gh,Failed to connect to lepool.eworkspace.gov.gh port 443 after 339 ms: Could not connect to server,none
lgcsp.gov.gh,Could not resolve host: lgcsp.gov.gh,none
loan.sltf.gov.gh,Could not resolve host: loan.sltf.gov.gh,none
lyncdiscover.eworkspace.gov.gh,Failed to connect to lyncdiscover.eworkspace.gov.gh port 443 after 328 ms: Could not connect to server,none
lyncdiscover.mofep.gov.gh,Could not resolve host: lyncdiscover.mofep.gov.gh,none
lyncdiscoverinternal.mofep.gov.gh,Could not resolve host: lyncdiscoverinternal.mofep.gov.gh,none
lyncedge.eworkspace.gov.gh,Failed to connect to lyncedge.eworkspace.gov.gh port 443 after 334 ms: Could not connect to server,none
mail.37milhosp.gov.gh,Could not resolve host: mail.37milhosp.gov.gh,none
mail.37milhosp.gov.gh.cp-28.webhostbox.net,SSL: no alternative certificate subject name matches target hostname 'mail.37milhosp.gov.gh.cp-28.webhostbox.net',none
mail.aeda.gov.gh,Could not resolve host: mail.aeda.gov.gh,none
mail.ama.gov.gh,Connection timed out after 3002 milliseconds,none
mail.bni.gov.gh,Resolving timed out after 3001 milliseconds,none
mail.bog.gov.gh,Connection timed out after 3001 milliseconds,none
mail.bunda.gov.gh,Could not resolve host: mail.bunda.gov.gh,none
mail.centralregion.gov.gh,Could not resolve host: mail.centralregion.gov.gh,none
mail.chraj.gov.gh,Could not resolve host: mail.chraj.gov.gh,none
mail.coda.gov.gh,Connection timed out after 3001 milliseconds,none
mail.collateralregistry.gov.gh,Could not resolve host: mail.collateralregistry.gov.gh,none
mail.councilofstate.gov.gh,Could not resolve host: mail.councilofstate.gov.gh,none
mail.dsw.gov.gh,Connection timed out after 3002 milliseconds,none
mail.dvlaghana.gov.gh,Could not resolve host: mail.dvlaghana.gov.gh,none
mail.e-agriculture.gov.gh,Could not resolve host: mail.e-agriculture.gov.gh,none
mail.ec.gov.gh,302,none
mail.embassy.gov.gh,Could not resolve host: mail.embassy.gov.gh,none
mail.energycom.gov.gh,Could not resolve host: mail.energycom.gov.gh,none
mail.epa.gov.gh,Failed to connect to mail.epa.gov.gh port 443 after 424 ms: Could not connect to server,none
mail.fsh.gov.gh,Connection timed out after 3001 milliseconds,none
mail.gafmed.gov.gh,Could not resolve host: mail.gafmed.gov.gh,none
mail.gapte.gov.gh,Could not resolve host: mail.gapte.gov.gh,none
mail.garh.gov.gh,Could not resolve host: mail.garh.gov.gh,none
mail.gegov.gov.gh,Could not resolve host: mail.gegov.gov.gh,none
mail.geiti.gov.gh,SSL: no alternative certificate subject name matches target hostname 'mail.geiti.gov.gh',none
mail.ghanalap.gov.gh,Could not resolve host: mail.ghanalap.gov.gh,none
mail.ghanaports.gov.gh,SSL certificate problem: self-signed certificate,none
