hostname,http_status,mx
protectioncivile.ch,301,none
publica.ch,403,10 mx04.mail.admin.ch.; 10 mx01.mail.admin.ch.; 10 mx03.mail.admin.ch.; 10 mx02.mail.admin.ch.
repolzurzibiet.ch,301,none
roc-taiwan.org,302,none
rwandamission.ch,ConnectException,none
sagw.ch,308,none
sbb.ch,301,none
seismo.ethz.ch,302,none
sg.ch,HttpConnectTimeoutException: HTTP connect timed out,10 mta1.abxsec.com.; 10 mta2.abxsec.com.
sh.ch,HttpConnectTimeoutException: HTTP connect timed out,10 miraculix1.ksd.ch.; 20 miraculix2.ksd.ch.
skbf-csre.ch,HttpConnectTimeoutException: HTTP connect timed out,none
snb.ch,HttpConnectTimeoutException: HTTP connect timed out,none
so.ch,405,20 in-mail2.so.ch.; 10 in-mail1.so.ch.
southafrica.ch,HttpConnectTimeoutException: HTTP connect timed out,none
sozialamt.tg.ch,HttpConnectTimeoutException: HTTP connect timed out,none
sozialversicherungsgericht.zh.ch,HttpConnectTimeoutException: HTTP connect timed out,none
staatskanzlei.bs.ch,HttpConnectTimeoutException: HTTP connect timed out,none
staatskanzlei.tg.ch,HttpTimeoutException: request timed out,none
stadt.sg.ch,200,none
statistik.bs.ch,HttpConnectTimeoutException: HTTP connect timed out,none
stawa.bs.ch,HttpConnectTimeoutException: HTTP connect timed out,20 mail10.swisscom.com.; 20 mail20.swisscom.com.; 10 mail.swisscom.com.
steuerkonferenz.ch,HttpConnectTimeoutException: HTTP connect timed out,0 steuerkonferenz-ch.mail.protection.outlook.com.
strafgericht.bs.ch,HttpConnectTimeoutException: HTTP connect timed out,none
swedenabroad.com,301,none
swir.ch,HttpConnectTimeoutException: HTTP connect timed out,none
swissmedic.ch,HttpConnectTimeoutException: HTTP connect timed out,0 swissmedic-ch.mail.protection.outlook.com.
swissmint.ch,HttpConnectTimeoutException: HTTP connect timed out,none
switzerland.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
switzerland.nlembassy.org,ConnectException,none
sz.ch,HttpConnectTimeoutException: HTTP connect timed out,10 mx56.sz.ch.; 20 mx57.sz.ch.
t-l.ch,HttpConnectTimeoutException: HTTP connect timed out,none
tajikistanmission.ch,HttpConnectTimeoutException: HTTP connect timed out,none
tarifverbund-zug.ch,HttpConnectTimeoutException: HTTP connect timed out,none
tas-cas.org,301,none
tnw.ch,HttpConnectTimeoutException: HTTP connect timed out,none
tvsz.ch,HttpConnectTimeoutException: HTTP connect timed out,none
ugandamission.ch,301,none
unesco.ch,HttpConnectTimeoutException: HTTP connect timed out,10 unesco-ch.mail.protection.outlook.com.
unireso.com,301,1 unireso-com.mail.protection.outlook.com.
unjiu.org,400,none
ur.ch,HttpConnectTimeoutException: HTTP connect timed out,15 mail2.ur.ch.; 10 mail1.ur.ch.
vd.ch,HttpConnectTimeoutException: HTTP connect timed out,10 mail2.rcv.ch.; 100 mail2-alt.rcv.ch.; 100 mail-alt.rcv.ch.; 10 mail.rcv.ch.
vd.zh.ch,IOException: EOF reached while reading,120 smtagb02.abxsec.com.; 110 smtazh02.abxsec.com.
vgr.zh.ch,HttpConnectTimeoutException: HTTP connect timed out,none
