subdomain,http_status,mx
ciudadano.cojedes.gob.ve,Resolving timed out after 3000 milliseconds,dig error
clap.alcaldiadenirgua.gob.ve,Could not resolve host: clap.alcaldiadenirgua.gob.ve,none
clave.desarrollominero.gob.ve,Could not resolve host: clave.desarrollominero.gob.ve,none
clbec.gob.ve,Could not resolve host: clbec.gob.ve,none
cleanz.gob.ve,Could not resolve host: cleanz.gob.ve,none
clebguarico.gob.ve,Could not resolve host: clebguarico.gob.ve,none
clesucre.gob.ve,Could not resolve host: clesucre.gob.ve,none
cmblcaracas.gob.ve,Could not resolve host: cmblcaracas.gob.ve,none
cmbolivar-tachira.gob.ve,Could not resolve host: cmbolivar-tachira.gob.ve,dig error
cmcapachonuevo.gob.ve,Could not resolve host: cmcapachonuevo.gob.ve,dig error
cmcarvajal.gob.ve,Could not resolve host: cmcarvajal.gob.ve,10 mx.zoho.com.; 20 mx2.zoho.com.
cmchacao.gob.ve,301,0 mail.cmchacao.gob.ve.
cmjjm.gob.ve,Could not resolve host: cmjjm.gob.ve,none
cmsmarino.gob.ve,Could not resolve host: cmsmarino.gob.ve,none
cmsp.gob.ve,Could not resolve host: cmsp.gob.ve,none
cnac.gob.ve,Resolving timed out after 3000 milliseconds,dig error
cne.gob.ve,Could not resolve host: cne.gob.ve,10 mta01.cne.gob.ve.; 20 relay01.cne.gob.ve.
cnti.gob.ve,200,10 mail.cnti.gob.ve.
cntq.gob.ve,Could not resolve host: cntq.gob.ve,none
codetaragua.gob.ve,Could not resolve host: codetaragua.gob.ve,none
cojedes.alcaldiaromulogallegoscojedes.gob.ve,Could not resolve host: cojedes.alcaldiaromulogallegoscojedes.gob.ve,none
cojedes.gob.ve,Resolving timed out after 3000 milliseconds,dig error
cojedesproductivo.cojedes.gob.ve,Resolving timed out after 3000 milliseconds,dig error
colabora.fundacite-falcon.gob.ve,Could not resolve host: colabora.fundacite-falcon.gob.ve,none
collabora.mppp.gob.ve,Connection timed out after 3000 milliseconds,none
comercializadora.conalot.gob.ve,Could not resolve host: comercializadora.conalot.gob.ve,none
comprobantes.conalot.gob.ve,Could not resolve host: comprobantes.conalot.gob.ve,none
comprobantesant.conalot.gob.ve,Could not resolve host: comprobantesant.conalot.gob.ve,none
conalot.conalot.gob.ve,Could not resolve host: conalot.conalot.gob.ve,none
conalot.gob.ve,301,10 correo.conalot.gob.ve.
conare.gob.ve,Resolving timed out after 3001 milliseconds,none
conatel.gob.ve,200,10 mail.conatel.gob.ve.
conati.gob.ve,Could not resolve host: conati.gob.ve,dig error
concejomaracaibo.gob.ve,Could not resolve host: concejomaracaibo.gob.ve,none
concejomunicipaldecolon-zulia.gob.ve,Could not resolve host: concejomunicipaldecolon-zulia.gob.ve,none
concejomunicipaldeguaicaipuro.gob.ve,Could not resolve host: concejomunicipaldeguaicaipuro.gob.ve,none
conexion.sudeaseg.gob.ve,Could not resolve host: conexion.sudeaseg.gob.ve,dig error
conferencia.minvih.gob.ve,Could not resolve host: conferencia.minvih.gob.ve,none
consejomunicipaldecolon-zulia.gob.ve,Could not resolve host: consejomunicipaldecolon-zulia.gob.ve,none
consulado.austria.gob.ve,Could not resolve host: consulado.austria.gob.ve,none
consulta.blockchain.gob.ve,Could not resolve host: consulta.blockchain.gob.ve,none
consultasop.nuevaesparta.gob.ve,Could not resolve host: consultasop.nuevaesparta.gob.ve,none
cont.igvsb.gob.ve,Could not resolve host: cont.igvsb.gob.ve,none
contradeltamacuro.gob.ve,Could not resolve host: contradeltamacuro.gob.ve,none
contraloria-apure.gob.ve,200,0 contraloria-apure.gob.ve.
contraloria-municipalfernandezfeo.gob.ve,Could not resolve host: contraloria-municipalfernandezfeo.gob.ve,none
contraloria.mppeuct.gob.ve,Could not resolve host: contraloria.mppeuct.gob.ve,dig error
contraloriaautonomadeguacara.gob.ve,Could not resolve host: contraloriaautonomadeguacara.gob.ve,none
contraloriadeamazonas.contraloriaestadoamazonas.gob.ve,200,none
contraloriadebolivar.gob.ve,Could not resolve host: contraloriadebolivar.gob.ve,none
contraloriadecardenas-tachira.gob.ve,Could not resolve host: contraloriadecardenas-tachira.gob.ve,none
contraloriadecojedes.gob.ve,200,none
contraloriademaracaibo.gob.ve,200,none
contraloriadepedraza-barinas.gob.ve,Could not resolve host: contraloriadepedraza-barinas.gob.ve,none
contraloriadeurbaneja.lecheria.gob.ve,Could not resolve host: contraloriadeurbaneja.lecheria.gob.ve,none
contraloriadevalera.gob.ve,SSL certificate problem: certificate has expired,0 contraloriadevalera.gob.ve.
contraloriadezamora-miranda.gob.ve,Could not resolve host: contraloriadezamora-miranda.gob.ve,none
contraloriaestadoamazonas.gob.ve,302,0 contraloriaestadoamazonas.gob.ve.
contraloriaestadobarinas.gob.ve,200,10 mail.contraloriaestadobarinas.gob.ve.
contraloriaestadomerida.gob.ve,200,10 mail.contraloriaestadomerida.gob.ve.
contraloriageneralzulia.gob.ve,Could not resolve host: contraloriageneralzulia.gob.ve,none
contraloriaguayos.gob.ve,Could not resolve host: contraloriaguayos.gob.ve,none
contraloriajosetadeomonagas.gob.ve,Could not resolve host: contraloriajosetadeomonagas.gob.ve,none
contralorialossalias.gob.ve,Could not resolve host: contralorialossalias.gob.ve,none
contraloriamunicipaldeheres-bolivar.gob.ve,SSL certificate problem: certificate has expired,10 correo.contraloriamunicipaldeheres-bolivar.gob.ve.
contraloriamunicipaldepiar.gob.ve,429,0 contraloriamunicipaldepiar.gob.ve.
contraloriamunicipaldepuertocabello.gob.ve,Resolving timed out after 3001 milliseconds,dig error
contraloriamunicipiobarinas.gob.ve,Could not resolve host: contraloriamunicipiobarinas.gob.ve,none
contralorianaguanagua.gob.ve,Could not resolve host: contralorianaguanagua.gob.ve,none
contraloriarosariodeperija.gob.ve,Could not resolve host: contraloriarosariodeperija.gob.ve,0 contraloriarosariodeperija.gob.ve.
contraloriasantabarbara-monagas.gob.ve,Could not resolve host: contraloriasantabarbara-monagas.gob.ve,none
control.sahum.gob.ve,Could not resolve host: control.sahum.gob.ve,none
convite.cenditel.gob.ve,Resolving timed out after 3001 milliseconds,0 .
coranztur.gob.ve,Could not resolve host: coranztur.gob.ve,none
corpoandes.gob.ve,Resolving timed out after 3000 milliseconds,none
corposervica.gob.ve,Could not resolve host: corposervica.gob.ve,none
corpotulipa.gob.ve,200,none
correo-masivo.mppeuct.gob.ve,Could not resolve host: correo-masivo.mppeuct.gob.ve,dig error
correo.alcaldiadeguacara.gob.ve,Could not resolve host: correo.alcaldiadeguacara.gob.ve,none
correo.alcaldiadeheres.gob.ve,Connection timed out after 3001 milliseconds,none
correo.alfareriabolivar.gob.ve,Could not resolve host: correo.alfareriabolivar.gob.ve,none
correo.bnv.gob.ve,TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error,none
correo.casa.gob.ve,Could not resolve host: correo.casa.gob.ve,none
correo.ciara.gob.ve,200,none
correo.contraloriamunicipaldeheres-bolivar.gob.ve,Connection timed out after 3000 milliseconds,none
correo.cvc.gob.ve,Resolving timed out after 3000 milliseconds,dig error
correo.fundacite-bolivar.gob.ve,Resolving timed out after 3000 milliseconds,dig error
correo.fundacite-falcon.gob.ve,200,none
correo.iartes.gob.ve,Could not resolve host: correo.iartes.gob.ve,dig error
correo.inac.gob.ve,Could not resolve host: correo.inac.gob.ve,none
correo.inces.gob.ve,Could not resolve host: correo.inces.gob.ve,none
correo.ivss.gob.ve,200,none
correo.menpet.gob.ve,Connection timed out after 3000 milliseconds,none
correo.metrovalencia.gob.ve,Connection timed out after 3000 milliseconds,5 correo.metrovalencia.gob.ve.
correo.minerven.gob.ve,Could not resolve host: correo.minerven.gob.ve,none
correo.miranda.gob.ve,Could not resolve host: correo.miranda.gob.ve,none
correo.mppeuct.gob.ve,Could not resolve host: correo.mppeuct.gob.ve,none
correo.mppp.gob.ve,Connection timed out after 3001 milliseconds,none
correo.nuevaesparta.gob.ve,200,none
correo.pgr.gob.ve,Connection timed out after 3001 milliseconds,none
correo.presidencia.gob.ve,200,none
correo.quimbiotec.gob.ve,Could not resolve host: correo.quimbiotec.gob.ve,none
correo.radiomundial.gob.ve,Connection timed out after 3002 milliseconds,none
correo.sada.gob.ve,Resolving timed out after 3001 milliseconds,dig error
correo.sebin.gob.ve,Could not resolve host: correo.sebin.gob.ve,none
correo.seniat.gob.ve,Connection timed out after 3001 milliseconds,none
correo.sudeaseg.gob.ve,Resolving timed out after 3002 milliseconds,dig error
correo.sudeban.gob.ve,Could not resolve host: correo.sudeban.gob.ve,none
correo.tsj-dem.gob.ve,Could not resolve host: correo.tsj-dem.gob.ve,none
correo.tsj.gob.ve,307,none
correo.ucocar.gob.ve,Connection timed out after 3001 milliseconds,none
correo2.cesppa.gob.ve,Resolving timed out after 3000 milliseconds,dig error
correoweb.bancodelpueblo.gob.ve,Connection timed out after 3001 milliseconds,dig error
cortudelta.gob.ve,Could not resolve host: cortudelta.gob.ve,none
cotatur.gob.ve,Could not resolve host: cotatur.gob.ve,none
covinea.gob.ve,Could not resolve host: covinea.gob.ve,none
cpanel.alcaldiabolivarianadesucrezulia.gob.ve,Could not resolve host: cpanel.alcaldiabolivarianadesucrezulia.gob.ve,none
cpanel.alcaldiadebaralt-zulia.gob.ve,Could not resolve host: cpanel.alcaldiadebaralt-zulia.gob.ve,none
cpanel.alcaldiadecamatagua.gob.ve,Could not resolve host: cpanel.alcaldiadecamatagua.gob.ve,none
cpanel.alcaldiadecolon.gob.ve,SSL certificate problem: certificate has expired,none
cpanel.alcaldiadeplaza.gob.ve,Could not resolve host: cpanel.alcaldiadeplaza.gob.ve,none
cpanel.alcaldiadiegoibarra.gob.ve,Could not resolve host: cpanel.alcaldiadiegoibarra.gob.ve,none
cpanel.alcaldiaezequielzamoramonagas.gob.ve,Could not resolve host: cpanel.alcaldiaezequielzamoramonagas.gob.ve,none
cpanel.alcaldiaguanare.gob.ve,200,none
cpanel.alcaldiamariobricenoiragorry-aragua.gob.ve,Could not resolve host: cpanel.alcaldiamariobricenoiragorry-aragua.gob.ve,none
cpanel.alcaldiamirandacalabozo.gob.ve,Could not resolve host: cpanel.alcaldiamirandacalabozo.gob.ve,none
cpanel.alcaldiamunicipiobolivar.gob.ve,Could not resolve host: cpanel.alcaldiamunicipiobolivar.gob.ve,none
cpanel.alcaldiaromulogallegoscojedes.gob.ve,Could not resolve host: cpanel.alcaldiaromulogallegoscojedes.gob.ve,none
cpanel.alcaldiasamueldariomaldonado.gob.ve,Could not resolve host: cpanel.alcaldiasamueldariomaldonado.gob.ve,none
cpanel.alcaldiasimonplanas.gob.ve,Resolving timed out after 3000 milliseconds,none
cpanel.alcaldiasimonrodriguez.gob.ve,Resolving timed out after 3000 milliseconds,none
cpanel.alcaldiatomaslander.gob.ve,Resolving timed out after 3000 milliseconds,none
cpanel.alcaldiazea.gob.ve,Resolving timed out after 3001 milliseconds,none
cpanel.anzoategui.gob.ve,Could not resolve host: cpanel.anzoategui.gob.ve,none
cpanel.aucc.gob.ve,Resolving timed out after 3000 milliseconds,none
cpanel.austria.gob.ve,Could not resolve host: cpanel.austria.gob.ve,none
cpanel.bomberosmerida.gob.ve,200,none
cpanel.carrizal-miranda.gob.ve,Could not resolve host: cpanel.carrizal-miranda.gob.ve,none
cpanel.cleanz.gob.ve,Could not resolve host: cpanel.cleanz.gob.ve,none
cpanel.cmblcaracas.gob.ve,Could not resolve host: cpanel.cmblcaracas.gob.ve,none
cpanel.cmbolivar-tachira.gob.ve,Could not resolve host: cpanel.cmbolivar-tachira.gob.ve,dig error
cpanel.cmcapachonuevo.gob.ve,Could not resolve host: cpanel.cmcapachonuevo.gob.ve,dig error
cpanel.cmjjm.gob.ve,Could not resolve host: cpanel.cmjjm.gob.ve,none
cpanel.cmsmarino.gob.ve,Could not resolve host: cpanel.cmsmarino.gob.ve,none
cpanel.cmsp.gob.ve,Could not resolve host: cpanel.cmsp.gob.ve,none
cpanel.cnac.gob.ve,Resolving timed out after 3001 milliseconds,none
cpanel.codetaragua.gob.ve,Could not resolve host: cpanel.codetaragua.gob.ve,none
cpanel.concejomunicipaldeguaicaipuro.gob.ve,Could not resolve host: cpanel.concejomunicipaldeguaicaipuro.gob.ve,none
cpanel.contraloria-apure.gob.ve,200,none
cpanel.contraloriadecojedes.gob.ve,Could not resolve host: cpanel.contraloriadecojedes.gob.ve,none
cpanel.contraloriadezamora-miranda.gob.ve,Could not resolve host: cpanel.contraloriadezamora-miranda.gob.ve,none
cpanel.contraloriaestadobarinas.gob.ve,Could not resolve host: cpanel.contraloriaestadobarinas.gob.ve,none
cpanel.contraloriaestadomerida.gob.ve,Could not resolve host: cpanel.contraloriaestadomerida.gob.ve,none
cpanel.contraloriaguayos.gob.ve,Could not resolve host: cpanel.contraloriaguayos.gob.ve,none
cpanel.contralorialossalias.gob.ve,Could not resolve host: cpanel.contralorialossalias.gob.ve,none
cpanel.contraloriamunicipaldepiar.gob.ve,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
cpanel.contraloriamunicipaldepuertocabello.gob.ve,Resolving timed out after 3001 milliseconds,dig error
cpanel.contraloriasantabarbara-monagas.gob.ve,Could not resolve host: cpanel.contraloriasantabarbara-monagas.gob.ve,none
cpanel.corpotulipa.gob.ve,200,none
cpanel.cortudelta.gob.ve,Could not resolve host: cpanel.cortudelta.gob.ve,none
