hostname,score,sources,label,level,http_status,mx
ausl.fo.it,4,wikidata,Azienda Unità Sanitaria Locale Della Romagna,,ConnectException,none
ausl.mo.it,4,wikidata,Azienda Unita' Sanitaria Locale Di Modena,,301,none
ausl.pc.it,4,wikidata,Azienda Unità Sanitaria Locale Piacenza,,ConnectException,10 mail.ausl.pc.it.; 20 mail2.ausl.pc.it.
ausl.pr.it,4,wikidata,Azienda Unita' Sanitaria Locale di Parma,,ConnectException,none
ausl.rn.it,4,wikidata,Azienda Unità Sanitaria Locale Rimini,,301,none
autoritadibacino.va.it,4,wikidata,Q76757969,,301,none
avimediateche.it,4,wikidata,Associazione Videoteche Mediateche Italiane,,301,none
beniculturali.it,4,wikidata,Istituto centrale per la patologia degli archivi e del libro,,ConnectException,none
benisequestraticonfiscati.it,4,wikidata,Q3606459,central,200,none
biblhertz.it,4,wikidata,Bibliotheca Hertziana – Max Planck Institute for Art History,,301,none
bncf.firenze.sbn.it,4,wikidata,National Central Library of Florence,,ConnectException,none
bncrm.beniculturali.it,4,wikidata,Biblioteca Nazionale Centrale di Roma,,500,none
brasimone.enea.it,4,wikidata,ENEA Brasimone Research Centre,,200,none
brindisi.enea.it,4,wikidata,ENEA Brindisi Research Centre,,301,none
casaccia.enea.it,4,wikidata,ENEA Casaccia Research Centre,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching casaccia.enea.it found.,none
ccm-network.it,4,wikidata,National Centre for Disease Prevention and Control,,ConnectException,none
cedrav.org,4,directory,Centro per La Documentazione e La Ricerca Antropologica in Valnerina e nella Dorsale Appenninica Umbra,,HttpConnectTimeoutException: HTTP connect timed out,1 smtp.google.com.
centronazionalesangue.it,4,wikidata,Q109377582,,HttpConnectTimeoutException: HTTP connect timed out,none
centroricerchealtolazio.it,4,wikidata,Centro di ricerche per la storia dell’Alto Lazio,,HttpConnectTimeoutException: HTTP connect timed out,none
cinema.beniculturali.it,4,wikidata,Q3709011,,HttpConnectTimeoutException: HTTP connect timed out,none
cni.it,4,wikidata,Consiglio Nazionale degli Ingegneri,,HttpConnectTimeoutException: HTTP connect timed out,none
colosseo.it,4,wikidata,archaeological park of Colosseum,,HttpConnectTimeoutException: HTTP connect timed out,none
comolecco.camcom.it,4,wikidata,Q121743666,,HttpConnectTimeoutException: HTTP connect timed out,10 aspmx3.googlemail.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 aspmx2.googlemail.com.; 5 alt2.aspmx.l.google.com.
comune.ancona.it,4,wikidata,Corpo di polizia locale di Ancona,,302,none
comunelecceneimarsi.it,4,wikidata,Q27573909,,HttpConnectTimeoutException: HTTP connect timed out,none
consiglionazionaleforense.it,4,wikidata,Consiglio Nazionale Forense,,HttpConnectTimeoutException: HTTP connect timed out,none
consip.it,4,wikidata,Consip,,HttpConnectTimeoutException: HTTP connect timed out,none
corpoguardieaifuochi.it,4,wikidata,Q126489524,,HttpConnectTimeoutException: HTTP connect timed out,10 mx2.pub.mailpod8-cph3.one.com.; 10 mx3.pub.mailpod8-cph3.one.com.; 10 mx1.pub.mailpod8-cph3.one.com.
cricd.it,4,wikidata,Q133284904,,200,none
cslinsubria.it,4,wikidata,International Research Center for Local Histories and Cultural Diversites,,301,none
