subdomain,http_status
ctla.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'ctla.gouv.cd'"
cpcontacts.numerique.gouv.cd,"301"
email.hydrocarbures.gouv.cd,"Could not resolve host: email.hydrocarbures.gouv.cd"
cpanel.lualaba.gouv.cd,"200"
cpanel.medd.gouv.cd,"200"
cpcalendars.maniema.gouv.cd,"SSL certificate problem: certificate has expired"
cpcontacts.vc.gouv.cd,"301"
final.dgi.gouv.cd,"Could not resolve host: final.dgi.gouv.cd"
cpcalendars.itpr.gouv.cd,"503"
congofa.ptntic.kongocentral.gouv.cd,"Could not resolve host: congofa.ptntic.kongocentral.gouv.cd"
ftp.fonctionpublique.gouv.cd,"Could not resolve host: ftp.fonctionpublique.gouv.cd"
fin.dgi.gouv.cd,"Could not resolve host: fin.dgi.gouv.cd"
ftp.igf.gouv.cd,"Could not resolve host: ftp.igf.gouv.cd"
autodiscover.energie.gouv.cd,"500"
ctla.ptntic.kongocentral.gouv.cd,"Could not resolve host: ctla.ptntic.kongocentral.gouv.cd"
evisa.gouv.cd,"200"
jeunesse-inc.gouv.cd,"Could not resolve host: jeunesse-inc.gouv.cd"
lemba.gouv.cd,"Could not resolve host: lemba.gouv.cd"
investir.maniema.gouv.cd,"Could not resolve host: investir.maniema.gouv.cd"
deniel.ptntic.kongocentral.gouv.cd,"Could not resolve host: deniel.ptntic.kongocentral.gouv.cd"
apdnk.gouv.cd,"Could not resolve host: apdnk.gouv.cd"
cpcalendars.logirad.gouv.cd,"503"
ftp.cooperation.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'ftp.cooperation.gouv.cd'"
cpcalendars.plan.gouv.cd,"401"
cpcalendars.interieur.gouv.cd,"503"
lemba.gouv.cd.lemba.gouv.cd,"Could not resolve host: lemba.gouv.cd.lemba.gouv.cd"
cpcalendars.finances.gouv.cd,"503"
cpcontacts.minepst.gouv.cd,"401"
cpcontacts.kongocentral.gouv.cd,"Could not resolve host: cpcontacts.kongocentral.gouv.cd"
cpanel.kinshasa.gouv.cd,"200"
fonafen.gouv.cd,"200"
mail.cooperation.gouv.cd,"Could not resolve host: mail.cooperation.gouv.cd"
mail.cadastre.gouv.cd,"Could not resolve host: mail.cadastre.gouv.cd"
cpcalendars.sgicr.gouv.cd,"503"
mail.dgi.gouv.cd,"Could not resolve host: mail.dgi.gouv.cd"
mail.evisa.gouv.cd,"Could not resolve host: mail.evisa.gouv.cd"
ambardc-londres.gouv.cd,"301"
mail.affaires-coutumieres.gouv.cd,"403"
mail.gouv.cd,"Could not resolve host: mail.gouv.cd"
cpcalendars.bpea.gouv.cd,"Could not resolve host: cpcalendars.bpea.gouv.cd"
cpanel.budget.gouv.cd,"200"
cpcontacts.minaffet.gouv.cd,"Could not resolve host: cpcontacts.minaffet.gouv.cd"
cpcalendars.ptntic.kongocentral.gouv.cd,"Could not resolve host: cpcalendars.ptntic.kongocentral.gouv.cd"
cpcalendars.budget.gouv.cd,"503"
mail.communication.gouv.cd,"200"
mail.finances.gouv.cd,"Could not resolve host: mail.finances.gouv.cd"
cpcontacts.bpea.gouv.cd,"Could not resolve host: cpcontacts.bpea.gouv.cd"
mail.jeunesse-inc.gouv.cd,"Could not resolve host: mail.jeunesse-inc.gouv.cd"
mail.energie.gouv.cd,"200"
gibs.sante.gouv.cd,"Could not resolve host: gibs.sante.gouv.cd"
cpcontacts.minindustrie.gouv.cd,"Could not resolve host: cpcontacts.minindustrie.gouv.cd"
mail.lualaba.gouv.cd,"Could not resolve host: mail.lualaba.gouv.cd"
cpcontacts.maniema.gouv.cd,"SSL certificate problem: certificate has expired"
mail.lemba.gouv.cd,"Could not resolve host: mail.lemba.gouv.cd"
kongocentral.gouv.cd,"Could not resolve host: kongocentral.gouv.cd"
mail.minaffetcde.gouv.cd,"Could not resolve host: mail.minaffetcde.gouv.cd"
mail.fonctionpublique.gouv.cd,"302"
dgi.gouv.cd,"200"
cpcalendars.plan-dcre.gouv.cd,"503"
mail.mineconomie.gouv.cd,"Could not resolve host: mail.mineconomie.gouv.cd"
mail.maniema.gouv.cd,"Could not resolve host: mail.maniema.gouv.cd"
mail.mindecentralisation-ri.gouv.cd,"Could not resolve host: mail.mindecentralisation-ri.gouv.cd"
cpcalendars.ambardc-londres.gouv.cd,"401"
fonctionpublique.gouv.cd,"200"
mail.igf.gouv.cd,"Failed to connect to mail.igf.gouv.cd port 443 after 109 ms: Could not connect to server"
cpcontacts.comco.gouv.cd,"401"
mail.minetatminider.gouv.cd,"Could not resolve host: mail.minetatminider.gouv.cd"
cpcontacts.finances.gouv.cd,"503"
cpcontacts.medd.gouv.cd,"401"
denuel.ptntic.kongocentral.gouv.cd,"Could not resolve host: denuel.ptntic.kongocentral.gouv.cd"
mail.minrsit.gouv.cd,"Could not resolve host: mail.minrsit.gouv.cd"
cpcontacts.minesu.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'cpcontacts.minesu.gouv.cd'"
mail.plan.gouv.cd,"Could not resolve host: mail.plan.gouv.cd"
educhat.ptntic.kongocentral.gouv.cd,"Could not resolve host: educhat.ptntic.kongocentral.gouv.cd"
mail.minfin.gouv.cd,"Could not resolve host: mail.minfin.gouv.cd"
mail.budget.gouv.cd,"Could not resolve host: mail.budget.gouv.cd"
ftp.minaffetcde.gouv.cd,"Could not resolve host: ftp.minaffetcde.gouv.cd"
igf.gouv.cd,"301"
mail.minptntic.gouv.cd,"Could not resolve host: mail.minptntic.gouv.cd"
economie.gouv.cd,"200"
cpcontacts.plan.gouv.cd,"401"
mail.villedegoma.gouv.cd,"Could not resolve host: mail.villedegoma.gouv.cd"
mail.minesu.gouv.cd,"Could not resolve host: mail.minesu.gouv.cd"
mail.mns.gouv.cd,"Could not resolve host: mail.mns.gouv.cd"
mail.itpr.gouv.cd,"Could not resolve host: mail.itpr.gouv.cd"
cpanel.ambardc-londres.gouv.cd,"200"
mail.ptntic.gouv.cd,"200"
mail1.dgi.gouv.cd,"Could not resolve host: mail1.dgi.gouv.cd"
drh.douane.gouv.cd,"400"
mail.nordubangi.gouv.cd,"SSL certificate problem: certificate has expired"
minasah.gouv.cd,"Could not resolve host: minasah.gouv.cd"
cpcontacts.logirad.gouv.cd,"503"
mail.kongocentral.gouv.cd,"Could not resolve host: mail.kongocentral.gouv.cd"
mail.urbanisme-habitat.gouv.cd,"Could not resolve host: mail.urbanisme-habitat.gouv.cd"
cpcontacts.ptntic.kongocentral.gouv.cd,"Could not resolve host: cpcontacts.ptntic.kongocentral.gouv.cd"
minetatminider.gouv.cd,"Could not resolve host: minetatminider.gouv.cd"
mail.minindustrie.gouv.cd,"Could not resolve host: mail.minindustrie.gouv.cd"
mail.projet.numerique.gouv.cd,"Could not resolve host: mail.projet.numerique.gouv.cd"
mindecentralisation-ri.gouv.cd,"Could not resolve host: mindecentralisation-ri.gouv.cd"
minfpm.gouv.cd,"Could not resolve host: minfpm.gouv.cd"
minagri.gouv.cd,"Could not resolve host: minagri.gouv.cd"
mail.police.gouv.cd,"200"
mail.tanganyika.gouv.cd,"Failed to connect to mail.tanganyika.gouv.cd port 443 after 128 ms: Could not connect to server"
finances.gouv.cd,"200"
minaffetcde.gouv.cd,"Could not resolve host: minaffetcde.gouv.cd"
mail.tourisme.gouv.cd,"200"
masina.gouv.cd,"Could not resolve host: masina.gouv.cd"
mail.numerique.gouv.cd,"200"
mont-ngafula.gouv.cd,"Could not resolve host: mont-ngafula.gouv.cd"
nordubangi.gouv.cd,"SSL certificate problem: certificate has expired"
interieur.gouv.cd,"200"
minptntic.gouv.cd,"Could not resolve host: minptntic.gouv.cd"
mail.ptntic.kongocentral.gouv.cd,"Could not resolve host: mail.ptntic.kongocentral.gouv.cd"
minrsit.gouv.cd,"200"
e-mob.ptntic.kongocentral.gouv.cd,"Could not resolve host: e-mob.ptntic.kongocentral.gouv.cd"
mail.vc.gouv.cd,"200"
kinshasa.gouv.cd,"302"
operating.interieur.gouv.cd,"Could not resolve host: operating.interieur.gouv.cd"
cpcontacts.plan-dcre.gouv.cd,"503"
acorep.gouv.cd,"200"
mns.gouv.cd,"Could not resolve host: mns.gouv.cd"
pga.plan.gouv.cd,"Could not resolve host: pga.plan.gouv.cd"
projet.numerique.gouv.cd,"Could not resolve host: projet.numerique.gouv.cd"
pop.cooperation.gouv.cd,"Could not resolve host: pop.cooperation.gouv.cd"
ptntic.kongocentral.gouv.cd,"Could not resolve host: ptntic.kongocentral.gouv.cd"
personnel.minesu.gouv.cd,"Could not resolve host: personnel.minesu.gouv.cd"
cpcontacts.onip.gouv.cd,"503"
presse.douane.gouv.cd,"Could not resolve host: presse.douane.gouv.cd"
posonline.villedegoma.gouv.cd,"Could not resolve host: posonline.villedegoma.gouv.cd"
rdc.dgi.gouv.cd,"Could not resolve host: rdc.dgi.gouv.cd"
cpcontacts.sgicr.gouv.cd,"503"
ptntic.gouv.cd,"200"
sankuru.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'sankuru.gouv.cd'"
debout.maniema.gouv.cd,"200"
news.medd.gouv.cd,"Could not resolve host: news.medd.gouv.cd"
minindustrie.gouv.cd,"Could not resolve host: minindustrie.gouv.cd"
mail.ambardc-londres.gouv.cd,"Could not resolve host: mail.ambardc-londres.gouv.cd"
numerique.gouv.cd,"200"
staging.lemba.gouv.cd,"Could not resolve host: staging.lemba.gouv.cd"
staging.barumbu.gouv.cd,"Could not resolve host: staging.barumbu.gouv.cd"
pyth.medd.gouv.cd,"Could not resolve host: pyth.medd.gouv.cd"
test.fonctionpublique.gouv.cd,"Could not resolve host: test.fonctionpublique.gouv.cd"
smtp.cooperation.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'smtp.cooperation.gouv.cd'"
mail.bpea.gouv.cd,"Could not resolve host: mail.bpea.gouv.cd"
training.douane.gouv.cd,"Could not resolve host: training.douane.gouv.cd"
minepst.gouv.cd,"301"
facebook.maniema.gouv.cd,"301"
tourisme.gouv.cd,"200"
thesesdim.villedegoma.gouv.cd,"Could not resolve host: thesesdim.villedegoma.gouv.cd"
trunk.lemba.gouv.cd,"Could not resolve host: trunk.lemba.gouv.cd"
twitter.maniema.gouv.cd,"Could not resolve host: twitter.maniema.gouv.cd"
trunk.mont-ngafula.gouv.cd,"Could not resolve host: trunk.mont-ngafula.gouv.cd"
try.minfin.gouv.cd,"Could not resolve host: try.minfin.gouv.cd"
trunk.barumbu.gouv.cd,"Could not resolve host: trunk.barumbu.gouv.cd"
villedegoma.gouv.cd,"Could not resolve host: villedegoma.gouv.cd"
staging.masina.gouv.cd,"Could not resolve host: staging.masina.gouv.cd"
urbanisme-habitat.gouv.cd,"Could not resolve host: urbanisme-habitat.gouv.cd"
mail.douane.gouv.cd,"400"
trunk.masina.gouv.cd,"Could not resolve host: trunk.masina.gouv.cd"
webdisk.arptc.gouv.cd,"Could not resolve host: webdisk.arptc.gouv.cd"
rdc.sante.gouv.cd,"Could not resolve host: rdc.sante.gouv.cd"
exemple.ptntic.kongocentral.gouv.cd,"Could not resolve host: exemple.ptntic.kongocentral.gouv.cd"
webdisk.dgi.gouv.cd,"Could not resolve host: webdisk.dgi.gouv.cd"
spirale.medd.gouv.cd,"Could not resolve host: spirale.medd.gouv.cd"
webdisk.cadastre.gouv.cd,"Could not resolve host: webdisk.cadastre.gouv.cd"
pe.medd.gouv.cd,"Could not resolve host: pe.medd.gouv.cd"
lualaba.gouv.cd,"301"
cpcalendars.numerique.gouv.cd,"301"
itpr.gouv.cd,"200"
test.medd.gouv.cd,"Could not resolve host: test.medd.gouv.cd"
webdisk.igf.gouv.cd,"Could not resolve host: webdisk.igf.gouv.cd"
maniema.gouv.cd,"SSL certificate problem: certificate has expired"
webdisk.douane.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'webdisk.douane.gouv.cd'"
logirad.gouv.cd,"200"
webdisk.lemba.gouv.cd,"Could not resolve host: webdisk.lemba.gouv.cd"
mail.logirad.gouv.cd,"200"
minindustrierdc.minindustrie.gouv.cd,"Could not resolve host: minindustrierdc.minindustrie.gouv.cd"
webdisk.medd.gouv.cd,"Could not resolve host: webdisk.medd.gouv.cd"
webdisk.logirad.gouv.cd,"Could not resolve host: webdisk.logirad.gouv.cd"
mail.plan-dcre.gouv.cd,"200"
mail.kinshasa.gouv.cd,"200"
webdisk.affaires-coutumieres.gouv.cd,"401"
