subdomain,http_status
bpm.apps.gov.ph,"Resolving timed out after 3000 milliseconds"
cpanel.duenaswaterdistrict.gov.ph,"200"
cpanel.dumalagwaterdistrict.gov.ph,"200"
bu.irsis.bir.gov.ph,"Resolving timed out after 3000 milliseconds"
bugasongwd.gov.ph,"Operation timed out after 3001 milliseconds with 0 bytes received"
cpanel.msfwd.gov.ph,"Could not resolve host: cpanel.msfwd.gov.ph"
cpanel.lacarlotacitywaterdistrict.gov.ph,"Could not resolve host: cpanel.lacarlotacitywaterdistrict.gov.ph"
cpanel.pangasinan.gov.ph,"Could not resolve host: cpanel.pangasinan.gov.ph"
cpanel.municipalityofbulakan.gov.ph,"Could not resolve host: cpanel.municipalityofbulakan.gov.ph"
cpanel.janiuaywaterdistrict.gov.ph,"200"
bugasongwd.miagaowaterdistrict.gov.ph,"Operation timed out after 3000 milliseconds with 0 bytes received"
cpanel.culasiwd.gov.ph,"200"
cpanel.igbaraswaterdistrict.gov.ph,"200"
cpanel.lgupambujan.gov.ph,"Could not resolve host: cpanel.lgupambujan.gov.ph"
business.gov.ph,"Resolving timed out after 3000 milliseconds"
cabanatuancity.gov.ph,"Connection timed out after 3001 milliseconds"
cpanel.naguilianlu.gov.ph,"Could not resolve host: cpanel.naguilianlu.gov.ph"
cpanel.rtradn.gov.ph,"Could not resolve host: cpanel.rtradn.gov.ph"
cpanel.lunaapayao.gov.ph,"Could not resolve host: cpanel.lunaapayao.gov.ph"
cpanel.metroviganwd.gov.ph,"Could not resolve host: cpanel.metroviganwd.gov.ph"
cpanel.santarosacity.gov.ph,"Could not resolve host: cpanel.santarosacity.gov.ph"
cagayandeoro.gov.ph,"Operation timed out after 3000 milliseconds with 0 bytes received"
cpanel.opolmisor.gov.ph,"Could not resolve host: cpanel.opolmisor.gov.ph"
cagwait.gov.ph,"Resolving timed out after 3000 milliseconds"
calinogwaterdistrict.gov.ph,"Operation timed out after 3000 milliseconds with 0 bytes received"
calinogwaterdistrict.miagaowaterdistrict.gov.ph,"Operation timed out after 3002 milliseconds with 0 bytes received"
cpanel.hret.gov.ph,"200"
cpanel.sanjosedi.gov.ph,"Could not resolve host: cpanel.sanjosedi.gov.ph"
cpanel.mnwd.gov.ph,"200"
cpanel.braulioedujali.gov.ph,"200"
cpanel.mati.gov.ph,"200"
cpanel.pcsd.gov.ph,"200"
cpanel.nabunturan.gov.ph,"200"
cpanel.mmh.gov.ph,"Could not resolve host: cpanel.mmh.gov.ph"
cpanel.tanaywaterdistrict.gov.ph,"Could not resolve host: cpanel.tanaywaterdistrict.gov.ph"
cpanel.munozwaterdistrict.gov.ph,"Could not resolve host: cpanel.munozwaterdistrict.gov.ph"
cpanel.dumanjug.gov.ph,"Could not resolve host: cpanel.dumanjug.gov.ph"
cpanel.silang.gov.ph,"Could not resolve host: cpanel.silang.gov.ph"
cpanel.unesco.gov.ph,"Could not resolve host: cpanel.unesco.gov.ph"
data.tabango-leyte.gov.ph,"Could not resolve host: data.tabango-leyte.gov.ph"
cpanel.metrolipawd.gov.ph,"Could not resolve host: cpanel.metrolipawd.gov.ph"
cpanel.miagaowaterdistrict.gov.ph,"200"
cpanel.nbdb.gov.ph,"Could not resolve host: cpanel.nbdb.gov.ph"
crm.ncmrs.dict.gov.ph,"Could not resolve host: crm.ncmrs.dict.gov.ph"
centraldatabase.mgb.gov.ph,"Resolving timed out after 3000 milliseconds"
certbot.bohol.gov.ph,"Connection timed out after 3000 milliseconds"
dev.armm.gov.ph,"Could not resolve host: dev.armm.gov.ph"
