hostname,http_status,mx
regnskabsstyrelsen.dk,301,10 mx01.dandomain.dk.
retsinformation.dk,301,none
rigsarkivet.dk,301,10 mx04.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx08.statens-it.dk.
rigsretten.dk,200,none
rigsrevisionen.dk,301,10 vmmaild006.rigsrevisionen.dk.; 20 vmmaild005.rigsrevisionen.dk.
roc-taiwan.org,302,none
samsik.dk,200,10 mx07.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx02.statens-it.dk.
sbst.dk,301,10 mx02.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.
sdfe.dk,301,10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.
sgavmst.dk,200,none
shret.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx2-dk.centerasecurity.dk.; 20 mx3-dk.centerasecurity.dk.; 10 mx1-dk.centerasecurity.dk.
sik.dk,301,10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx02.statens-it.dk.
sikkerdigital.dk,301,none
siri.dk,200,10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx06.statens-it.dk.
skatteankestyrelsen.dk,200,0 .
skatteforvaltningen.dk,200,10 skatteforvaltningen-dk.p-v1.mx.microsoft.
sktst.dk,200,10 sktst-dk.t-v1.mx.microsoft.
slks.dk,200,10 mx03.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.
slovenien.dk,200,10 mx3.pub.mailpod12-cph3.one.com.; 10 mx2.pub.mailpod12-cph3.one.com.; 10 mx1.pub.mailpod12-cph3.one.com.; 10 mx4.pub.mailpod12-cph3.one.com.
socialstyrelsen.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx06.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.
soeg.kb.dk,HttpConnectTimeoutException: HTTP connect timed out,none
sofartsstyrelsen.dk,HttpConnectTimeoutException: HTTP connect timed out,none
spillemyndigheden.dk,200,10 spillemyndigheden-dk.s-v1.mx.microsoft.
sst.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.
star.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.
statens-adm.dk,200,10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx04.statens-it.dk.
statens-it.dk,200,10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx08.statens-it.dk.
statsbiblioteket.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx02.statens-it.dk.
stil.dk,200,10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.
stpk.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.
stps.dk,200,10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.
stukuvm.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.
sundhed.dk,301,0 sundhed-dk.h-v1.mx.microsoft.
sundhedsdatastyrelsen.dk,200,10 sundhedsdatastyrelsen-dk.f-v1.mx.microsoft.
sydtrafik.dk,HttpConnectTimeoutException: HTTP connect timed out,0 sydtrafik-dk.mail.protection.outlook.com.
tb.taarnby.dk,200,none
teleanke.dk,200,10 teleanke-dk.mail.protection.outlook.com.
tet.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx07.statens-it.dk.
toldst.dk,200,10 toldst-dk.v-v1.mx.microsoft.
trafikstyrelsen.dk,301,10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.
ufm.dk,200,10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx06.statens-it.dk.
ufst.dk,200,10 ufst-dk.u-v1.mx.microsoft.
uk.rigsrevisionen.dk,301,none
unesco.dk,200,10 mx01.sitnet.dk.; 10 mx04.sitnet.dk.; 20 mx6.sitnet.dk.; 20 mx5.sitnet.dk.; 10 mx02.sitnet.dk.; 10 mx08.sitnet.dk.; 10 mx03.sitnet.dk.; 10 mx06.sitnet.dk.; 20 mx7.sitnet.dk.; 10 mx07.sitnet.dk.; 10 mx05.sitnet.dk.
us.dk,200,10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.
vejdirektoratet.dk,301,10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.
veteran.forsvaret.dk,HttpConnectTimeoutException: HTTP connect timed out,none
virk.dk,200,5 virk-dk.h-v1.mx.microsoft.
vurdst.dk,200,10 vurdst-dk.v-v1.mx.microsoft.
xn--danmarksfngsler-5lb.dk,200,none
